suburb,state,assigned_region
Boolijah,New South Wales,Southern Highlands and Shoalhaven
Boomanoomana,,
Boomerang Beach,,
Boomey,,
Boomi,,
Boomi Creek,New South Wales,Richmond - Tweed
Boona Mount,New South Wales,Central West
Boonal,New South Wales,New England and North West
Boonoo Boonoo,,
Boorabee Park,New South Wales,Richmond - Tweed
Booragul,,
Booral (NSW),,
Boorga,New South Wales,Riverina
Boorganna,New South Wales,Mid North Coast
Boorolong,New South Wales,New England and North West
Boorook,,
Boorooma,New South Wales,Riverina
Booroorban,New South Wales,Murray
Boorowa,New South Wales,Capital Region
Bootawa,New South Wales,Mid North Coast
Booti Booti,,
Booyong,New South Wales,Richmond - Tweed
Bora Ridge,New South Wales,Richmond - Tweed
Borah Creek,New South Wales,New England and North West
Borambola,New South Wales,Riverina
Border Ranges,,
Boree,New South Wales,Central West
Boree Creek,,
Borenore,New South Wales,Central West
Boro,New South Wales,Capital Region
Bossley Park,New South Wales,Sydney - South West
Bostobrick,New South Wales,Coffs Harbour - Grafton
Botany,,
Botobolar,New South Wales,Central West
Bottle Creek,New South Wales,Richmond - Tweed
Bouddi,,
Bourbah,New South Wales,Far West and Orana
Bourke,New South Wales,Far West and Orana
Bourkelands,New South Wales,Riverina
Bournda,,
Bournewood,,
Bow Bowing,New South Wales,Sydney - Outer South West
Bowan Park,New South Wales,Central West
Bowen Mountain,,
Bowenfels,New South Wales,Central West
Bowling Alley Point,New South Wales,New England and North West
Bowman,New South Wales,Mid North Coast
Bowman Farm,New South Wales,Mid North Coast
Bowmans Creek,New South Wales,Hunter Valley exc Newcastle
Bowna,,
Bowning,New South Wales,Capital Region
Bowral,New South Wales,Southern Highlands and Shoalhaven
Bowraville,New South Wales,Mid North Coast
Box Head,,
Box Hill (NSW),,
Boxers Creek,New South Wales,Capital Region
Boydtown,,
Bradbury (NSW),New South Wales,Sydney - Outer South West
Braefield,New South Wales,New England and North West
Braemar,New South Wales,Southern Highlands and Shoalhaven
Braemar Bay,New South Wales,Capital Region
Braidwood,New South Wales,Capital Region
Brandy Hill,New South Wales,Hunter Valley exc Newcastle
Branxton,New South Wales,Hunter Valley exc Newcastle
Braunstone,New South Wales,Coffs Harbour - Grafton
Brawboy,New South Wales,Hunter Valley exc Newcastle
Bray Park (NSW),New South Wales,Richmond - Tweed
Brays Creek,New South Wales,Richmond - Tweed
Brayton,,
Breadalbane (NSW),New South Wales,Capital Region
Breakfast Creek,New South Wales,Central West
Breakfast Point,,
Bream Beach,New South Wales,Southern Highlands and Shoalhaven
Bredbo,,
Breelong,New South Wales,Far West and Orana
Breeza,New South Wales,New England and North West
Bretti,New South Wales,Mid North Coast
Brewarrina,New South Wales,Far West and Orana
Brewongle,New South Wales,Central West
Briarbrook,New South Wales,New England and North West
Bribbaree,,
Bridgman,New South Wales,Hunter Valley exc Newcastle
Brierfield,,
Brighton-Le-Sands,,
Brightwaters,,
Bril Bril,New South Wales,Mid North Coast
Brimbin,New South Wales,Mid North Coast
Brindabella,,
Brinerville,,
Bringelly,New South Wales,Sydney - South West
Bringenbrong,,
Brisbane Grove,New South Wales,Capital Region
Broadmeadow,New South Wales,Newcastle and Lake Macquarie
Broadwater (Bega Valley - NSW),New South Wales,Capital Region
Broadwater (Richmond Valley - NSW),,
Broadway,New South Wales,Capital Region
Brobenah,New South Wales,Riverina
Brocklehurst,New South Wales,Far West and Orana
Brocklesby,New South Wales,Murray
Brockley,New South Wales,New England and North West
Brodies Plains,New South Wales,New England and North West
Brogans Creek,New South Wales,Central West
Brogers Creek,,
Brogo,New South Wales,Capital Region
Broke (NSW),New South Wales,Hunter Valley exc Newcastle
Broken Head,,
Broken Hill,,
Brombin,New South Wales,Mid North Coast
Bronte,,
Brookdale (NSW),New South Wales,Riverina
Brookfield (NSW),New South Wales,Hunter Valley exc Newcastle
Brooklana,New South Wales,Coffs Harbour - Grafton
Brooklet,New South Wales,Richmond - Tweed
Brooklyn (NSW),,
Brookong,New South Wales,Riverina
Brookvale,New South Wales,Sydney - Northern Beaches
Brooman,,
Brooms Head,,
Broughams Gate,,
Broughton (NSW),,
Broughton Vale,,
Broughton Village,,
Broulee,,
Brownlow Hill,,
Browns Creek,New South Wales,Central West
Browns Mountain,New South Wales,Southern Highlands and Shoalhaven
Brownsville,New South Wales,Illawarra
Brucedale,New South Wales,Riverina
Bruie Plains,New South Wales,Central West
Bruinbun,New South Wales,Central West
Brumby Plains,New South Wales,Richmond - Tweed
Brundee,New South Wales,Southern Highlands and Shoalhaven
Brungle,New South Wales,Riverina
Brungle Creek,New South Wales,Riverina
Brunkerville,,
Brunswick Heads,,
Brushgrove,New South Wales,Coffs Harbour - Grafton
Brushy Creek,New South Wales,New England and North West
Buangla,New South Wales,Southern Highlands and Shoalhaven
Bucca (NSW),New South Wales,Coffs Harbour - Grafton
Bucca Wauka,New South Wales,Mid North Coast
Buccarumbi,New South Wales,Coffs Harbour - Grafton
Buchanan (NSW),New South Wales,Hunter Valley exc Newcastle
Buckajo,New South Wales,Capital Region
Buckaroo,New South Wales,Central West
Buckenbowra,New South Wales,Capital Region
Buckenderra,New South Wales,Capital Region
Buckendoon,New South Wales,Richmond - Tweed
Bucketty,,
Buckra Bendinni,New South Wales,Mid North Coast
Budawang,,
Buddabadah,,
Budden,New South Wales,Central West
Budderoo,,
Buddong,New South Wales,Riverina
Budgee Budgee (NSW),New South Wales,Central West
Budgewoi,,
Budgewoi Peninsula,,
Budgong,New South Wales,Southern Highlands and Shoalhaven
Buff Point,,
Bugaldie,New South Wales,Far West and Orana
Bukalong,New South Wales,Capital Region
Bukkulla,New South Wales,New England and North West
Bulahdelah,New South Wales,Mid North Coast
Bulee,,
Bulga (NSW),New South Wales,Hunter Valley exc Newcastle
Bulga Forest,New South Wales,Mid North Coast
Bulgary,New South Wales,Riverina
Bulla (NSW),New South Wales,Far West and Orana
Bulla Creek,,
Bullaburra,New South Wales,Sydney - Outer West and Blue Mountains
Bullagreen,New South Wales,Far West and Orana
Bullarah,,
Bullatale,,
Bullawa Creek,New South Wales,New England and North West
Bulldog,,
Bulli,,
Bulliac,New South Wales,Mid North Coast
Bullio,,
Bulyeroi,,
Bumbaldry,New South Wales,Central West
Bumbalong,,
Bundabah,,
Bundagen,,
Bundanoon (NSW),New South Wales,Southern Highlands and Shoalhaven
Bundarra,New South Wales,New England and North West
Bundeena,,
Bundella,,
Bundemar,New South Wales,Far West and Orana
Bundewallah,New South Wales,Southern Highlands and Shoalhaven
Bundook,New South Wales,Mid North Coast
Bundure,,
Bungaba,New South Wales,Central West
Bungabbee,New South Wales,Richmond - Tweed
Bungalora,New South Wales,Richmond - Tweed
Bungarby,New South Wales,Capital Region
Bungarribee,New South Wales,Sydney - Blacktown
Bungawalbin,New South Wales,Richmond - Tweed
Bungendore,,
Bungonia,,
Bungowannah,,
Bungwahl,New South Wales,Mid North Coast
Bunnaloo,,
Bunnan,New South Wales,Hunter Valley exc Newcastle
Bunyah,New South Wales,Mid North Coast
Bunyan,New South Wales,Capital Region
Burcher,New South Wales,Central West
Bureen,New South Wales,Hunter Valley exc Newcastle
Burnt Bridge,New South Wales,Mid North Coast
Burnt Yards,New South Wales,Central West
Buronga,,
Burra (Queanbeyan-Palerang Regional - NSW),New South Wales,Capital Region
Burra (Snowy Valleys - NSW),New South Wales,Riverina
Burra Creek,New South Wales,Riverina
Burraboi,New South Wales,Murray
Burradoo,New South Wales,Southern Highlands and Shoalhaven
Burraga,New South Wales,Central West
Burragate,New South Wales,Capital Region
Burrandana,New South Wales,Riverina
Burraneer,,
Burrangong,New South Wales,Capital Region
Burrapine,New South Wales,Mid North Coast
Burrawang,New South Wales,Southern Highlands and Shoalhaven
Burrell Creek,New South Wales,Mid North Coast
Burren Junction,,
Burrier,New South Wales,Southern Highlands and Shoalhaven
Burrill Lake,,
Burringbar,New South Wales,Richmond - Tweed
Burrinjuck,,
Burroway,New South Wales,Far West and Orana
Burrumbuttock,New South Wales,Murray
Burrundulla,New South Wales,Central West
Burrungubugge,,
Burwood (NSW),New South Wales,Sydney - Inner West
Burwood Heights,New South Wales,Sydney - Inner West
Busby,New South Wales,Sydney - South West
Busbys Flat,,
Bushells Ridge,,
Buttaba,,
Buttai,New South Wales,Hunter Valley exc Newcastle
Butterwick,New South Wales,Hunter Valley exc Newcastle
Buxton (NSW),,
Byabarra,New South Wales,Mid North Coast
Byadbo Wilderness,,
Byangum,New South Wales,Richmond - Tweed
Bylong,,
Byng,New South Wales,Central West
Byrock,New South Wales,Far West and Orana
Byron Bay,,
Byrrill Creek,New South Wales,Richmond - Tweed
Bywong,New South Wales,Capital Region
Cabarita (NSW),,
Cabarita Beach,,
Cabbage Tree Island (Ballina - NSW),New South Wales,Richmond - Tweed
Cabbage Tree Island (Mid-Coast - NSW),New South Wales,Mid North Coast
Cabramatta,New South Wales,Sydney - South West
Cabramatta West,New South Wales,Sydney - South West
Cabramurra,,
