suburb,state,assigned_region,latitude,longitude
Perwillowen,Queensland,Sunshine Coast,-26.6333,152.9167
Petford,Queensland,Queensland - Outback,-17.35,144.9333
Petrie,Queensland,Moreton Bay - South,-27.2667,152.9833
Petrie Terrace,Queensland,Brisbane Inner City,-27.463,153.0131
Pheasant Creek (Qld),Queensland,Central Queensland,,
Philpott,Queensland,Wide Bay,-25.6,151.3667
Pialba,,,-25.287,152.8437
Pickanjinnie,Queensland,Darling Downs - Maranoa,-26.4418,149.1033
Picnic Bay,,,-19.1746,146.8376
Pie Creek,Queensland,Wide Bay,-26.2299,152.6077
Pierces Creek,Queensland,Darling Downs - Maranoa,-35.3497,148.9986
Pierces Creek,Queensland,Darling Downs - Maranoa,-27.1656,152.0289
Pikedale,Queensland,Darling Downs - Maranoa,-28.65,151.6333
Pikes Creek,Queensland,Darling Downs - Maranoa,-28.6849,151.9102
Pile Gully,Queensland,Wide Bay,-25.7551,151.4891
Pilerwa,Queensland,Wide Bay,-25.6069,152.5653
Pilton,Queensland,Darling Downs - Maranoa,-27.8701,152.0458
Pimlico (Qld),Queensland,Townsville,,
Pimpama,,,-27.8167,153.3
Pimpimbudgee,,,-26.8941,151.7962
Pin Gin Hill,Queensland,Cairns,-17.5155,145.9973
Pinbarren,Queensland,Sunshine Coast,-26.3333,152.85
Pindi Pindi,Queensland,Mackay - Isaac - Whitsunday,-20.8667,148.7333
Pine Creek (Qld),Queensland,Wide Bay,,
Pine Hills,Queensland,Darling Downs - Maranoa,-26.9484,149.8925
Pine Mountain (Qld),Queensland,Ipswich,,
Pinelands (Qld),Queensland,Darling Downs - Maranoa,,
Pinevale,Queensland,Mackay - Isaac - Whitsunday,-21.2908,148.8258
Pinjarra Hills,,,-27.5383,152.9074
Pink Lily,Queensland,Central Queensland,-23.35,150.4667
Pinkenba,,,-27.428,153.1167
Pinnacle (Qld),Queensland,Mackay - Isaac - Whitsunday,,
Pinnacles,Queensland,Townsville,-19.4415,146.6751
Pioneer (Qld),Queensland,Queensland - Outback,,
Pioneers Rest,Queensland,Wide Bay,-25.6726,152.5768
Pirrinuan,Queensland,Darling Downs - Maranoa,-27.2463,151.3099
Pittsworth,Queensland,Darling Downs - Maranoa,-27.7164,151.634
Piturie,,,-20.7507,139.5291
Placid Hills,Queensland,Toowoomba,-27.5613,152.2325
Plainby,Queensland,Darling Downs - Maranoa,-27.2697,151.9799
Plainland,Queensland,Ipswich,-27.5667,152.4167
Pleystowe,Queensland,Mackay - Isaac - Whitsunday,-21.15,149.0333
Point Arkwright,,,-26.5461,153.1006
Point Lookout,,,-27.4273,153.5366
Point Vernon,,,-25.2573,152.8173
Pomona (Qld),Queensland,Sunshine Coast,,
Pony Hills,,,-25.9091,149.0258
Poona,,,-25.7154,152.9096
Porcupine,,,-20.4611,144.4311
Pormpuraaw,,,-17.2171,145.2114
Pormpuraaw,,,-14.8988,141.6212
Port Alma,,,-23.5831,150.8608
Port Curtis,Queensland,Central Queensland,-23.4306,150.5186
Port Douglas,,,-16.4838,145.4673
Port Of Brisbane,,,-27.3847,153.1754
Portsmith,,,-16.9404,145.7677
Poruma Island,,,-16.6282,145.2087
Postmans Ridge,Queensland,Toowoomba,-27.5309,152.0528
Pozieres,Queensland,Darling Downs - Maranoa,-28.5269,151.8829
Prairie (Qld),Queensland,Queensland - Outback,,
Pratten,Queensland,Darling Downs - Maranoa,-28.0892,151.7827
Prawle,Queensland,Wide Bay,-25.4965,152.7705
Prenzlau,Queensland,Ipswich,-27.5333,152.5167
Preston (Lockyer Valley - Qld),,,,
Preston (Whitsunday - Qld),Queensland,Mackay - Isaac - Whitsunday,,
Priestdale,,,-27.6,153.1333
Prince Henry Heights,Queensland,Toowoomba,-27.5511,151.991
Prince Of Wales,,,-16.6282,145.2087
Promisedland,Queensland,Wide Bay,-25.1975,152.3239
Proserpine,Queensland,Mackay - Isaac - Whitsunday,-20.4011,148.5802
Prospect (Qld),Queensland,Central Queensland,,
Proston,Queensland,Wide Bay,-26.1607,151.6004
Pullenvale,,,-27.5228,152.8865
Punchs Creek,Queensland,Darling Downs - Maranoa,-27.9982,151.1776
Punsand,,,-16.6282,145.2087
Purga,Queensland,Ipswich,-27.6592,152.7158
Purrawunda,Queensland,Darling Downs - Maranoa,-27.5212,151.6186
Queenton,Queensland,Townsville,-20.0745,146.2817
Quilpie,Queensland,Queensland - Outback,-26.6135,144.2695
Quinalow,Queensland,Darling Downs - Maranoa,-27.1123,151.6209
Qunaba,Queensland,Wide Bay,-24.8339,152.4213
Racecourse,,,-21.1665,149.1345
Raceview,Queensland,Ipswich,-27.6347,152.7752
Radford,Queensland,Ipswich,-27.8522,152.6295
Raglan (Qld),Queensland,Central Queensland,,
Railway Estate,Queensland,Townsville,-19.2757,146.8196
Rainbow Beach,,,-25.9043,153.0917
Ramsay (Qld),,,,
Rangemore (Burdekin - Qld),,,,
Rangemore (Toowoomba - Qld),Queensland,Darling Downs - Maranoa,,
Ranges Bridge,Queensland,Darling Downs - Maranoa,-27.2463,151.3099
Rangeville,Queensland,Toowoomba,-27.5832,151.98
Rangewood,Queensland,Townsville,-19.3114,146.6388
Ransome,,,-27.4881,153.1793
Rasmussen,Queensland,Townsville,-19.3524,146.7228
Rathdowney,,,-28.2108,152.8641
Ravensbourne,,,-27.3667,152.1667
Ravenshoe,Queensland,Cairns,-17.609,145.4841
Ravenswood (Qld),,,,
Ravensworth (Qld),Queensland,Queensland - Outback,,
Rawbelle,,,-25.0232,150.8271
Red Hill (Brisbane - Qld),Queensland,Brisbane Inner City,,
Red Hill (Western Downs - Qld),Queensland,Darling Downs - Maranoa,,
Red River,Queensland,Queensland - Outback,-14.6095,142.5487
Redbank (Qld),,,,
Redbank Creek,,,-27.2171,152.5052
Redbank Plains,Queensland,Ipswich,-27.6461,152.8596
Redcliffe (Qld),,,,
Redford,,,-26.6071,147.4952
Redgate (Qld),Queensland,Wide Bay,,
Redhill Farms,Queensland,Wide Bay,-25.0218,151.9512
Redland Bay,,,-27.6113,153.3002
Redlynch,Queensland,Cairns,-16.9254,145.6956
Redridge,Queensland,Wide Bay,-25.1699,152.3613
Redwood,Queensland,Toowoomba,-27.5648,151.9791
Reedy Creek (Qld),Queensland,Gold Coast,,
Reesville,Queensland,Sunshine Coast,-26.7595,152.7879
Regency Downs,Queensland,Ipswich,-27.5336,152.4405
Regents Park (Qld),Queensland,Logan - Beaudesert,,
Reid River,Queensland,Townsville,-19.7667,146.8333
Reids Creek,Queensland,Wide Bay,-25.5291,151.5643
Retro,,,-22.8498,147.915
Rewan,,,-24.9843,148.3466
Rhydding,Queensland,Central Queensland,-24.7282,149.5222
Richlands (Qld),Queensland,Ipswich,,
Richmond (Mackay - Qld),Queensland,Mackay - Isaac - Whitsunday,,
Richmond (Richmond - Qld),Queensland,Queensland - Outback,,
Richmond Hill (Qld),Queensland,Townsville,,
Ridgelands,Queensland,Central Queensland,-23.25,150.2833
Ridgewood (Qld),,,,
Rifle Range,Queensland,Ipswich,-27.4595,152.5312
Ringtail Creek,Queensland,Sunshine Coast,-26.3439,152.9668
Ringwood (Qld),Queensland,Toowoomba,,
Riordanvale,Queensland,Mackay - Isaac - Whitsunday,-20.2866,148.6427
Ripley,Queensland,Ipswich,-27.7167,152.8333
Rita Island,,,-19.6167,147.5333
River Heads,,,-25.4155,152.9131
River Ranch,Queensland,Central Queensland,-23.982,151.1583
Riverbend,,,-27.7596,152.8766
Riverhills,,,-27.5593,152.9111
Riverleigh,Queensland,Wide Bay,-25.5766,151.2001
Riversleigh,Queensland,Queensland - Outback,-26.4481,146.1413
Riverton (Qld),,,,
Riverview (Qld),,,,
Roadvale,Queensland,Ipswich,-27.9177,152.6882
Robertson (Qld),Queensland,Brisbane - South,,
Robina,Queensland,Gold Coast,-28.0707,153.3933
Roche Creek,Queensland,Darling Downs - Maranoa,-26.0546,150.1413
Rochedale,,,-27.5667,153.1333
Rochedale South,,,-27.5952,153.1233
Rockhampton City,Queensland,Central Queensland,-23.3803,150.506
Rockingham (Qld),,,,
Rocklea (Qld),,,,
Rockmount,,,-27.6833,152.0333
Rocksberg,,,-27.1,152.8333
Rockside,,,-27.7007,152.2857
Rockville,Queensland,Toowoomba,-27.5361,151.938
Rocky Creek (Qld),Queensland,Darling Downs - Maranoa,,
Rocky Point (Douglas - Qld),,,,
Rocky Point (Weipa - Qld),,,,
Rockyview,Queensland,Central Queensland,-23.3538,150.5527
Rodds Bay,,,-24.0855,151.6282
Rodgers Creek,Queensland,Darling Downs - Maranoa,-28.2187,151.8153
Rolleston,Queensland,Central Queensland,-24.4645,148.6226
Rollingstone,,,-19.05,146.3833
Roma,Queensland,Darling Downs - Maranoa,-26.5674,148.7875
Rookwood (Qld),Queensland,Queensland - Outback,,
Ropeley,,,-27.6667,152.2667
Rosalie Plains,Queensland,Darling Downs - Maranoa,-27.2167,151.7
Rosedale (Qld),,,,
Rosehill (Qld),Queensland,Darling Downs - Maranoa,,
Rosella,Queensland,Mackay - Isaac - Whitsunday,-21.2377,149.1549
Rosemount,Queensland,Sunshine Coast,-26.6303,152.9997
Roseneath,Queensland,Townsville,-19.3555,146.8351
Rosenthal Heights,Queensland,Darling Downs - Maranoa,-28.2401,152.0133
Rosevale (Qld),Queensland,Ipswich,,
Rosewood (Qld),Queensland,Ipswich,,
Ross Creek (Qld),Queensland,Wide Bay,,
Ross River,Queensland,Townsville,-19.3167,146.7333
Rosslea,Queensland,Townsville,-19.2987,146.7982
Rosslyn,,,-23.1661,150.7783
Rossmoya,Queensland,Central Queensland,-23.0333,150.4833
Rossvale,Queensland,Darling Downs - Maranoa,-27.6466,151.583
Rossville,,,-15.7,145.2541
Rothwell,,,-27.2143,153.0468
Round Hill (Qld),,,,
Roundstone,Queensland,Central Queensland,-24.6344,149.659
Rowes Bay,,,-19.2401,146.7892
Royston,Queensland,Moreton Bay - North,-26.95,152.65
Rubyanna,,,-24.8158,152.3916
Rules Beach,,,-24.4975,152.0399
Runaway Bay,,,-27.9139,153.3977
Runcorn,Queensland,Brisbane - South,-27.5976,153.077
Rungoo,,,-18.4975,146.1756
Running Creek (Qld),,,,
Runnymede (Qld),,,,
Rural View,Queensland,Mackay - Isaac - Whitsunday,-21.0645,149.1646
Rush Creek,,,-27.2086,152.8642
Russell Island,,,-27.6487,153.3812
Ryan (Qld),Queensland,Queensland - Outback,,
Ryeford,Queensland,Darling Downs - Maranoa,-27.9324,151.8167
Rywung,Queensland,Darling Downs - Maranoa,-26.7192,150.4841
Sabine,Queensland,Darling Downs - Maranoa,-27.35,151.7167
Sadliers Crossing,Queensland,Ipswich,-27.6125,152.7458
Saibai Island,,,-16.6282,145.2087
Salisbury (Qld),Queensland,Brisbane - South,,
Samford Valley,Queensland,Moreton Bay - South,-27.3727,152.867
Samford Village,Queensland,Moreton Bay - South,-27.3727,152.8866
Samsonvale,Queensland,Moreton Bay - South,-27.2667,152.85
Sandgate (Qld),,,,
Sandiford,Queensland,Mackay - Isaac - Whitsunday,-21.25,149.1
Sandringham (Qld),Queensland,Central Queensland,,
Sandstone Point,,,-27.0837,153.1324
Sandy Camp,Queensland,Darling Downs - Maranoa,-27.9656,151.8371
Sandy Creek (Qld),,,,
Sandy Pocket,Queensland,Cairns,-17.2171,145.2114
Sandy Ridges,Queensland,Wide Bay,-26.513,152.0118
Sapphire Central,Queensland,Central Queensland,-23.4573,147.7244
Sarabah,,,-28.0918,153.1131
Sarina,,,-21.4191,149.2168
Sarina Beach,,,-21.3884,149.3086
Sarina Range,Queensland,Mackay - Isaac - Whitsunday,-21.5533,149.1175
Saunders Beach,,,-19.1579,146.6032
Savannah,Queensland,Queensland - Outback,-19.4918,146.3831
Saxby,Queensland,Queensland - Outback,-20.4831,142.8984
Scarborough (Qld),,,,
Scarness,,,-25.2841,152.856
Scotchy Pocket,Queensland,Wide Bay,-25.9861,152.5421
Scottville,Queensland,Mackay - Isaac - Whitsunday,-20.5667,147.8167
Scrub Creek,,,-27.0426,152.4134
Scrubby Creek (Blackall Tambo - Qld),Queensland,Queensland - Outback,,
Scrubby Creek (Gympie - Qld),Queensland,Wide Bay,,
Scrubby Mountain,Queensland,Darling Downs - Maranoa,-27.7871,151.5828
Seaforth (Qld),,,,
Seisia,,,-16.6282,145.2087
Selene,Queensland,Wide Bay,-25.0167,151.15
Selwyn (Qld),Queensland,Queensland - Outback,,
Septimus,Queensland,Mackay - Isaac - Whitsunday,-21.2333,148.7667
Seven Hills (Qld),,,,
Seventeen Mile,,,-27.5507,152.959
Seventeen Mile Rocks,,,-27.5507,152.959
Seventeen Seventy,,,-24.1687,151.8839
Seventy Mile,,,-20.597,146.6175
Severnlea,Queensland,Darling Downs - Maranoa,-28.7023,151.9027
Sexton,Queensland,Wide Bay,-26.0,152.4333
Shailer Park,,,-27.6498,153.1775
Shannonvale,,,-16.5026,145.3793
Shannonvale,,,-37.0112,147.5097
Sharon,Queensland,Wide Bay,-24.8759,152.2699
Shaw,Queensland,Townsville,-19.2626,146.7033
Sheep Station Creek,Queensland,Moreton Bay - North,-26.8569,152.5085
Shelburne,,,-11.7544,142.8003
Sheldon,,,-27.5844,153.2004
Shell Pocket,Queensland,Cairns,-17.8125,145.9907
Shelly Beach (Sunshine Coast - Qld),,,,
Shelly Beach (Townsville - Qld),,,,
Sherwood (Qld),,,,
Shirbourne,Queensland,Townsville,-19.5687,147.0703
Shoal Point,,,-21.0048,149.1527
Shoalwater (Qld),,,,
Shorncliffe,,,-27.3276,153.0816
Shute Harbour,,,-20.2913,148.7858
Silkstone,Queensland,Ipswich,-27.6213,152.7877
Silkwood,Queensland,Cairns,-17.7446,146.0171
Silky Oak,Queensland,Cairns,-17.9673,145.9392
Silver Creek,Queensland,Mackay - Isaac - Whitsunday,-20.4753,148.4786
Silver Creek,Queensland,Mackay - Isaac - Whitsunday,-36.3833,146.7167
Silver Ridge,Queensland,Toowoomba,-27.6097,152.0078
Silver Spur,,,-28.8205,151.0759
Silver Valley,,,-17.6245,145.2958
Silverbark Ridge,Queensland,Logan - Beaudesert,-27.7366,152.95
Silverdale (Qld),Queensland,Ipswich,,
Silverleaf,Queensland,Wide Bay,-26.1653,151.9097
Silverleigh,Queensland,Darling Downs - Maranoa,-27.3115,151.7487
Silverwood,Queensland,Darling Downs - Maranoa,-28.3239,152.0051
Simmie,Queensland,Darling Downs - Maranoa,-25.6034,148.6919
Simmie,Queensland,Darling Downs - Maranoa,-36.1277,144.6747
Sinnamon Park,,,-27.5444,152.9489
Sippy Downs,Queensland,Sunshine Coast,-26.7179,153.0547
Skyring Reserve,Queensland,Wide Bay,-25.049,151.9617
Slacks Creek,Queensland,Logan - Beaudesert,-27.65,153.15
Slade Point,,,-21.075,149.225
Sladevale,Queensland,Darling Downs - Maranoa,-28.1667,152.0667
Smithfield (Qld),Queensland,Cairns,,
Smithlea,,,-28.7896,151.0902
Soldiers Hill (Qld),Queensland,Queensland - Outback,,
Somerset (Qld),,,,
Somerset Dam,,,-27.1214,152.5497
Sommariva,Queensland,Queensland - Outback,-26.4191,146.6031
Somme,Queensland,Darling Downs - Maranoa,-28.7872,151.8147
South Bingera,Queensland,Wide Bay,-24.9673,152.223
South Brisbane,,,-27.4803,153.0205
South East Nanango,,,-26.7224,152.0369
South Gladstone,Queensland,Central Queensland,-23.8622,151.268
South Innisfail,,,-17.5449,146.0296
South Isis,Queensland,Wide Bay,-25.2666,152.2976
South Johnstone,Queensland,Cairns,-17.5972,145.9945
South Kolan,Queensland,Wide Bay,-24.932,152.1679
South Mackay,,,-21.1629,149.1775
South Maclean,Queensland,Logan - Beaudesert,-27.7924,153.016
South Mission Beach,,,-17.95,146.0833
South Nanango,,,-26.75,151.9667
South Ripley,,,-27.7174,152.8164
South Stradbroke,,,-27.8329,153.4207
South Talwood,,,-28.6124,149.3207
South Toowoomba,Queensland,Toowoomba,-27.571,151.9465
South Townsville,,,-19.2662,146.8333
South Trees,,,-23.869,151.2783
South Wellesley Islands,,,-17.2171,145.2114
South Wellesley Islands,,,-17.0909,139.5656
South Yaamba,Queensland,Central Queensland,-23.2343,150.333
Southbrook,,,-27.6833,151.7167
Southedge,Queensland,Queensland - Outback,-17.2171,145.2114
Southern Cross (Qld),Queensland,Townsville,,
Southern Lamington,,,-28.0393,153.2817
Southern Moreton Bay Islands,,,,
Southport (Qld),,,,
Southside,Queensland,Wide Bay,-26.21,152.6472
Southwood,Queensland,Darling Downs - Maranoa,-27.7683,150.0713
Speedwell,Queensland,Wide Bay,-26.0303,151.5263
Speewah,Queensland,Cairns,-16.8893,145.6134
Splinter Creek,Queensland,Wide Bay,-24.9755,151.2055
Split Yard Creek,Queensland,Ipswich,-27.3699,152.5526
Spreadborough,Queensland,Queensland - Outback,-20.7624,139.5015
Spring Bluff,Queensland,Toowoomba,-27.4625,151.9698
Spring Creek (Banana - Qld),Queensland,Central Queensland,,
Spring Creek (Lockyer Valley - Qld),,,,
Spring Creek (Toowoomba - Qld),Queensland,Darling Downs - Maranoa,,
Spring Hill (Qld),Queensland,Brisbane Inner City,,
Spring Mountain (Qld),,,,
Springbrook,,,-28.1917,153.263
Springdale (Qld),Queensland,Darling Downs - Maranoa,,
Springfield (Ipswich - Qld),Queensland,Ipswich,,
Springfield (Mareeba - Qld),Queensland,Queensland - Outback,,
Springfield Central,Queensland,Ipswich,-27.6805,152.9042
Springfield Lakes,,,-27.6676,152.9249
Springlands,Queensland,Mackay - Isaac - Whitsunday,-20.5331,147.7992
Springside (Qld),Queensland,Darling Downs - Maranoa,,
Springsure,Queensland,Central Queensland,-24.1148,148.0885
Springvale (Qld),Queensland,Darling Downs - Maranoa,,
Springwood (Qld),Queensland,Logan - Beaudesert,,
Spurgeon,,,-17.2171,145.2114
Spurgeon,,,-16.3416,145.3844
St Agnes (Qld),Queensland,Wide Bay,,
St Aubyn,Queensland,Darling Downs - Maranoa,-27.0833,151.9167
St George (Qld),Queensland,Darling Downs - Maranoa,,
St Helens (Fraser Coast - Qld),Queensland,Wide Bay,,
St Helens (Toowoomba - Qld),Queensland,Darling Downs - Maranoa,,
St Helens Beach,,,-20.8564,148.8096
St Kilda (Qld),Queensland,Wide Bay,,
St Lawrence,,,-22.3456,149.5353
St Lucia,,,-27.4752,152.8871
St Mary,Queensland,Wide Bay,-25.6988,152.4997
St Ruth,Queensland,Darling Downs - Maranoa,-27.2463,151.3099
Staaten,Queensland,Queensland - Outback,-14.6095,142.5487
Stafford,,,-27.4104,153.0111
Stafford Heights,Queensland,Brisbane - North,-27.3935,153.0105
Stalworth,Queensland,Wide Bay,-26.1438,151.6146
Stamford,Queensland,Queensland - Outback,-21.2667,143.8167
Stanage,,,-22.1434,150.0557
Stanmore (Qld),Queensland,Moreton Bay - North,,
Stanthorpe,Queensland,Darling Downs - Maranoa,-28.6543,151.9339
Stanwell,Queensland,Central Queensland,-23.4833,150.3167
Stapylton,,,-27.7333,153.2333
Starcke,,,-15.7528,145.2786
Steiglitz (Qld),Queensland,Gold Coast,,
Stewart Creek Valley,Queensland,Cairns,-16.2949,145.3065
Stewarton (Qld),Queensland,Central Queensland,,
Stockhaven,Queensland,Wide Bay,-25.6696,151.8879
Stockleigh,Queensland,Logan - Beaudesert,-27.7667,153.0667
Stockton (Qld),Queensland,Cairns,,
Stockyard (Livingstone - Qld),,,,
Stockyard (Lockyer Valley - Qld),Queensland,Toowoomba,,
Stokes,Queensland,Queensland - Outback,-21.1181,141.9437
Stonehenge (Barcoo - Qld),Queensland,Queensland - Outback,,
Stonehenge (Toowoomba - Qld),Queensland,Darling Downs - Maranoa,,
Stonelands,Queensland,Wide Bay,-26.182,151.712
Stoneleigh (Qld),Queensland,Darling Downs - Maranoa,,
Stones Corner,Queensland,Brisbane - South,-27.5082,153.0495
Stony Creek (Qld),Queensland,Moreton Bay - North,,
Storm King,Queensland,Darling Downs - Maranoa,-28.7291,151.9762
Stoters Hill,Queensland,Cairns,-17.5354,145.9728
Stratford (Qld),Queensland,Cairns,,
Strathdickie,Queensland,Mackay - Isaac - Whitsunday,-20.3333,148.6167
Strathfield (Qld),Queensland,Mackay - Isaac - Whitsunday,,
Strathmore (Qld),Queensland,Queensland - Outback,,
Strathpine,,,-27.3041,152.9898
Stretton,Queensland,Brisbane - South,-27.6221,153.0661
Struck Oil,Queensland,Central Queensland,-23.6213,150.4457
Stuart (Qld),,,,
Sturt (Qld),,,,
Sugarloaf (Southern Downs - Qld),,,,
Sugarloaf (Whitsunday - Qld),Queensland,Mackay - Isaac - Whitsunday,,
Sujeewong,,,-26.6865,150.8203
Summerholm,Queensland,Ipswich,-27.6167,152.45
Sumner,,,-27.5655,152.9334
Sumner,,,-37.7725,144.9724
Sun Valley (Qld),Queensland,Central Queensland,,
Sundown (Cassowary Coast - Qld),Queensland,Cairns,,
Sundown (Southern Downs - Qld),,,,
Sunny Nook,Queensland,Wide Bay,-26.1179,151.893
Sunnybank,Queensland,Brisbane - South,-27.58,153.0606
Sunnybank Hills,Queensland,Brisbane - South,-27.6103,153.0539
Sunnyside (Qld),Queensland,Mackay - Isaac - Whitsunday,,
Sunrise Beach,,,-26.4165,153.103
Sunset,Queensland,Queensland - Outback,-20.7103,139.5082
Sunshine Acres,Queensland,Wide Bay,-25.3581,152.7877
Sunshine Beach,,,-26.4058,153.1078
Surat,Queensland,Darling Downs - Maranoa,-27.1529,149.0681
Surfers Paradise,,,-28.0027,153.43
Susan River,,,-25.3888,152.7652
Suttor,Queensland,Mackay - Isaac - Whitsunday,-21.3333,147.9833
Svensson Heights,Queensland,Wide Bay,-24.8857,152.3318
Swan Creek (Qld),Queensland,Darling Downs - Maranoa,,
Swanbank,Queensland,Ipswich,-27.6569,152.8072
Swanfels,,,-28.1696,152.2714
Swans Lagoon,Queensland,Townsville,-20.0317,147.2492
Sweers Island,,,,
Syndicate,,,-16.3416,145.3844
Taabinga,Queensland,Wide Bay,-26.5833,151.8333
Tablelands (Gladstone - Qld),,,,
Tablelands (South Burnett - Qld),Queensland,Wide Bay,,
Tabooba,Queensland,Logan - Beaudesert,-28.1266,152.945
Tabragalba,,,-28.0339,152.9361
Taigum,Queensland,Brisbane - North,-27.3426,153.0444
Takilberan,Queensland,Wide Bay,-24.9066,151.7936
Takura,Queensland,Wide Bay,-25.318,152.6959
Talaroo,Queensland,Queensland - Outback,-17.2171,145.2114
Taldora,Queensland,Queensland - Outback,-21.1181,141.9437
Talegalla Weir,Queensland,Wide Bay,-25.7799,152.7079
Talgai,Queensland,Darling Downs - Maranoa,-28.0506,151.8588
Tallai,Queensland,Gold Coast,-28.0641,153.3259
Tallebudgera,Queensland,Gold Coast,-28.15,153.4333
Tallebudgera Valley,,,-28.1927,153.3549
Tallegalla,Queensland,Ipswich,-27.6,152.5667
Tam O'Shanter,Queensland,Cairns,-17.913,146.06
Tamaree,Queensland,Wide Bay,-26.1346,152.6636
Tambo,Queensland,Queensland - Outback,-24.8819,146.2575
Tamborine,,,-27.8833,153.1333
Tamborine Mountain,Queensland,Gold Coast,-27.9695,153.1994
Tamrookum,Queensland,Logan - Beaudesert,-28.1242,152.9159
Tamrookum Creek,Queensland,Logan - Beaudesert,-28.0339,152.9361
Tanah Merah,Queensland,Logan - Beaudesert,-27.6715,153.1702
Tanawha,Queensland,Sunshine Coast,-26.7198,153.0302
Tanbar,,,-25.4222,142.6566
Tanby,Queensland,Central Queensland,-23.2333,150.75
Tandora,,,-25.6795,152.6468
Tandur,Queensland,Wide Bay,-26.2833,152.75
Tangorin,Queensland,Queensland - Outback,-21.75,144.2333
Tannum Sands,,,-23.9475,151.3675
Tannymorel,Queensland,Darling Downs - Maranoa,-28.2909,152.2461
Tansey,Queensland,Wide Bay,-26.0467,152.0514
Tara (Qld),Queensland,Darling Downs - Maranoa,,
Taragoola,Queensland,Central Queensland,-24.1003,151.2196
Tarampa,Queensland,Ipswich,-27.4833,152.55
Taranganba,Queensland,Central Queensland,-23.1443,150.7514
Tarawera,Queensland,Darling Downs - Maranoa,-28.2167,149.6667
Targinnie,,,-23.8,151.1
Taringa,,,-27.4906,152.9786
Tarome,,,-27.9611,152.6003
Taromeo,,,-26.8276,152.1204
Tarong,,,-26.7667,151.85
Taroom,,,-25.6393,149.7998
Taroomball,Queensland,Central Queensland,-23.1726,150.7438
Tarragindi,Queensland,Brisbane - South,-27.5271,153.0456
Tarramba,Queensland,Central Queensland,-24.6296,150.2625
Tarzali,Queensland,Cairns,-17.4333,145.6
Taunton (Qld),Queensland,Central Queensland,,
Taylors Beach (Qld),,,,
Te Kowai,Queensland,Mackay - Isaac - Whitsunday,-21.1667,149.1167
Teddington,Queensland,Wide Bay,-25.6497,152.6653
Teebar,Queensland,Wide Bay,-25.6734,152.1844
Teelah,,,-27.3699,152.5526
Teelah,,,-26.8857,152.1538
Teelba,Queensland,Darling Downs - Maranoa,-27.5239,149.3687
Telina,Queensland,Central Queensland,-23.8883,151.2538
Tellebang,Queensland,Wide Bay,-25.0667,151.2333
Templin,Queensland,Ipswich,-27.9714,152.6478
Teneriffe,,,-27.4559,153.047
Tennyson (Qld),,,,
Terrica,Queensland,Darling Downs - Maranoa,-28.5219,151.4786
Teviotville,Queensland,Ipswich,-27.95,152.6833
Tewantin,Queensland,Sunshine Coast,-26.391,153.0343
Texas (Qld),,,,
Thabeban,Queensland,Wide Bay,-24.9,152.35
Thagoona,Queensland,Ipswich,-27.6333,152.6333
Thallon,Queensland,Darling Downs - Maranoa,-28.6379,148.8683
Thane,Queensland,Darling Downs - Maranoa,-28.1621,151.7012
Thanes Creek,Queensland,Darling Downs - Maranoa,-28.1167,151.6833
Thangool,,,-24.4863,150.5736
Thargomindah,Queensland,Queensland - Outback,-27.995,143.8239
The Bluff (Ipswich - Qld),Queensland,Ipswich,,
The Bluff (Toowoomba - Qld),,,,
The Caves,Queensland,Central Queensland,-23.1833,150.4667
The Common,Queensland,Central Queensland,-23.3802,150.5325
The Dawn,Queensland,Wide Bay,-26.2418,152.6792
The Dimonds,,,-25.5419,152.8559
The Falls,,,-28.317,152.3841
The Gap (Brisbane - Qld),,,,
The Gap (Mount Isa - Qld),Queensland,Queensland - Outback,,
The Glen (Qld),Queensland,Darling Downs - Maranoa,,
The Gums,Queensland,Darling Downs - Maranoa,-27.3333,150.1833
The Head,,,-28.2833,152.4167
The Hermitage,Queensland,Darling Downs - Maranoa,-28.2079,152.1016
The Keppels,,,-23.0695,150.8913
The Leap,,,-21.0833,149.0167
The Limits,Queensland,Wide Bay,-25.6797,151.6608
The Mine,Queensland,Central Queensland,-23.629,150.3704
The Narrows (Qld),,,,
The Palms,Queensland,Wide Bay,-26.205,152.5865
The Percy Group,,,-22.1895,149.3593
The Pines (Qld),Queensland,Darling Downs - Maranoa,,
The Range (Qld),Queensland,Central Queensland,,
The Summit,,,-28.5805,151.9533
Theebine,Queensland,Wide Bay,-25.9505,152.5409
Theodore (Qld),Queensland,Central Queensland,,
Theresa Creek (Qld),,,,
Thinoomba,Queensland,Wide Bay,-25.6025,152.4537
Thompson Point,,,-23.4906,150.7539
Thoopara,Queensland,Mackay - Isaac - Whitsunday,-20.55,148.5667
Thornborough,Queensland,Queensland - Outback,-17.2171,145.2114
Thorndale,Queensland,Darling Downs - Maranoa,-28.7053,151.8588
Thorneside,,,-27.4878,153.1982
Thornlands,,,-27.5575,153.2648
Thornton (Qld),,,,
Thornton Beach,,,-16.1748,145.4409
Thornville,Queensland,Darling Downs - Maranoa,-27.0577,151.816
Three Moon,Queensland,Wide Bay,-24.9111,151.1265
Three Rivers,Queensland,Queensland - Outback,-19.8255,140.1619
Thulimbah,,,-28.5506,151.9486
Thuringowa Central,Queensland,Townsville,-19.3129,146.7263
Thursday Island,,,-16.6282,145.2087
Tiaro,Queensland,Wide Bay,-25.7261,152.5827
