suburb,state,latitude,longitude,assigned_region
Wyrallah,NSW,-28.8893,153.2991,Richmond - Tweed
Monaltrie,NSW,-28.8521,153.2906,Richmond - Tweed
Goolmangar,NSW,-28.7508,153.2248,Richmond - Tweed
Dorroughby,NSW,-28.6575,153.3547,Richmond - Tweed
Nimbin,NSW,-28.5954,153.2234,Richmond - Tweed
Bungabbee,NSW,-28.7755,153.1501,Richmond - Tweed
Rosebank,NSW,-28.6667,153.4,Richmond - Tweed
North Lismore,NSW,-28.7888,153.2803,Richmond - Tweed
Blue Knob,NSW,-28.5448,153.1868,Richmond - Tweed
Blakebrook,NSW,-28.7603,153.2384,Richmond - Tweed
Federal,NSW,-28.6485,153.4512,Regional NSW
Gundurimba,NSW,-28.85,153.2667,Regional NSW
Tuntable Falls,NSW,-28.7493,153.2724,Regional NSW
Steve Kings Plains,NSW,-28.7493,153.2724,Regional NSW
Lismore Dc,NSW,-28.7493,153.2724,Regional NSW
Back Creek,NSW,-28.6031,153.0298,Regional NSW
Tucki Tucki,NSW,-28.9333,153.3167,Richmond - Tweed
South Lismore,NSW,-28.8163,153.2562,Richmond - Tweed
Boorabee Park,NSW,-28.6863,153.0489,Richmond - Tweed
Upper Coopers Creek,NSW,-28.5998,153.4011,Richmond - Tweed
Leycester,NSW,-28.7833,153.2,Richmond - Tweed
Corndale,NSW,-28.7091,153.3624,Regional NSW
Tuckurimba,NSW,-28.9667,153.3167,Richmond - Tweed
South Gundurimba,NSW,-28.8852,153.2397,Richmond - Tweed
The Channon,NSW,-28.6716,153.2797,Richmond - Tweed
Ruthven,NSW,-28.9339,153.2784,Richmond - Tweed
Dunoon,NSW,-28.6846,153.3177,Richmond - Tweed
Clunes,NSW,-28.7312,153.4074,Regional NSW
Lismore,NSW,-28.8135,153.2773,Regional NSW
Missingham,NSW,-28.7,153.0333,Regional NSW
Stony Chute,NSW,-28.5817,153.1641,Richmond - Tweed
Numulgi,NSW,-28.7233,153.327,Richmond - Tweed
Fernside,NSW,-28.7818,153.1679,Richmond - Tweed
Lismore Heights,NSW,-28.801,153.3005,Richmond - Tweed
Booerie Creek,NSW,-28.7825,153.2434,Richmond - Tweed
Richmond Hill,NSW,-29.0581,153.2822,Regional NSW
Girards Hill,NSW,-28.8169,153.2779,Richmond - Tweed
Larnook,NSW,-28.6516,153.1108,Richmond - Tweed
Dungarubba,NSW,-28.9833,153.3833,Richmond - Tweed
Bexhill,NSW,-28.7499,153.35,Richmond - Tweed
Goonellabah,NSW,-28.8167,153.3167,Richmond - Tweed
Repentance Creek,NSW,-28.6302,153.4075,Richmond - Tweed
Marom Creek,NSW,-28.9015,153.3725,Richmond - Tweed
Rock Valley,NSW,-28.7485,153.1679,Richmond - Tweed
East Lismore,NSW,-28.8259,153.2888,Richmond - Tweed
Lindendale,NSW,-28.8282,153.3757,Richmond - Tweed
Howards Grass,NSW,-28.7917,153.306,Richmond - Tweed
Tuncester,NSW,-28.8,153.2167,Richmond - Tweed
Woodlawn,NSW,-28.7689,153.3188,Richmond - Tweed
Tuntable Creek,NSW,-28.6321,153.2602,Richmond - Tweed
Clovass,NSW,-28.872,153.149,Regional NSW
Eltham,NSW,-28.7596,153.4084,Regional NSW
Koonorigan,NSW,-28.6833,153.2333,Richmond - Tweed
Jiggi,NSW,-28.677,153.1843,Richmond - Tweed
Lagoon Grass,NSW,-28.7944,153.3178,Richmond - Tweed
Keerrong,NSW,-28.7128,153.2658,Richmond - Tweed
Suffolk Park,NSW,-28.6881,153.6098,
Myocum,NSW,-28.596,153.5061,Richmond - Tweed
Skinners Shoot,NSW,-28.6703,153.5928,Richmond - Tweed
Tyagarah,NSW,-28.609,153.5557,
Broken Head,NSW,-28.7291,153.6087,
Ewingsdale,NSW,-28.6366,153.5533,Richmond - Tweed
Byron Bay,NSW,-28.6499,153.6125,
Hayters Hill,NSW,-28.6541,153.577,Richmond - Tweed
Talofa,NSW,-28.6541,153.577,Richmond - Tweed
Botany,NSW,-33.946,151.1959,
Kogarah,NSW,-33.9681,151.1356,Sydney - Inner South West
Rosebery,NSW,-33.9167,151.2,Richmond - Tweed
Eastlakes,NSW,-33.932,151.2121,
Banksmeadow,NSW,-33.9566,151.2096,
Daceyville,NSW,-33.9288,151.2258,
Kingsford,NSW,-33.924,151.2275,Regional NSW
Maroubra,NSW,-33.95,151.2333,
Maroubra South,NSW,-33.95,151.2333,Regional NSW
Pagewood,NSW,-33.9414,151.2109,
La Perouse,NSW,-33.9872,151.2317,
Matraville,NSW,-33.9634,151.2319,
Port Botany,NSW,-33.9745,151.2228,
Chifley,NSW,-33.967,151.2422,Regional NSW
Malabar,NSW,-33.9622,151.248,
Phillip Bay,NSW,-33.9816,151.234,
Little Bay,NSW,-33.979,151.243,
Hillsdale,NSW,-33.9515,151.2278,
Eastgardens,NSW,-33.9451,151.2258,
Wolli Creek,NSW,-33.9313,151.1522,
Arncliffe,NSW,-33.9363,151.1482,
Turrella,NSW,-33.9303,151.1421,Sydney - Inner South West
Bardwell Park,NSW,-33.9353,151.1257,Sydney - Inner South West
Bexley,NSW,-33.95,151.1167,Sydney - Inner South West
Bexley South,NSW,-33.9393,151.1232,Regional NSW
Bexley North,NSW,-33.9385,151.1139,Sydney - Inner South West
Bardwell Valley,NSW,-33.9334,151.1367,Sydney - Inner South West
Kingsway West,NSW,-33.9393,151.0993,Regional NSW
Kingsgrove Dc,NSW,-33.9393,151.0993,Regional NSW
Kingsgrove,NSW,-33.9393,151.0993,Sydney - Inner South West
Rockdale Dc,NSW,-33.9535,151.1481,Regional NSW
Kyeemagh,NSW,-33.9513,151.162,
Banksia,NSW,-33.946,151.143,Sydney - Inner South West
Brighton-Le-Sands,NSW,-33.9601,151.1511,
Rockdale,NSW,-33.95,151.1333,Sydney - Inner South West
Brighton Le Sands,NSW,-33.9601,151.1511,Regional NSW
Carlton,NSW,-33.9711,151.1214,Regional NSW
Allawah,NSW,-33.9726,151.1144,Sydney - Inner South West
Merimbula,NSW,-36.889,149.9096,
Bournda,NSW,-36.8295,149.9033,
Mirador,NSW,-36.8777,149.9157,
Berrambool,NSW,-36.8815,149.9066,Capital Region
Yellow Pinch,NSW,-36.8614,149.8446,Capital Region
Tura Beach,NSW,-36.8636,149.9303,
Lochiel,NSW,-36.9485,149.8179,Regional NSW
Greigs Flat,NSW,-36.9652,149.8679,Capital Region
Pambula,NSW,-36.9301,149.8745,Capital Region
Bald Hills,NSW,-36.9117,149.8428,Regional NSW
South Pambula,NSW,-36.9471,149.8478,Capital Region
Millingandi,NSW,-36.8862,149.8564,Capital Region
Nethercote,NSW,-37.0152,149.8346,Capital Region
Pambula Beach,NSW,-36.9417,149.9034,
Broadwater,NSW,-36.9432,149.8557,Regional NSW
Bobundara,NSW,-36.5155,148.9385,Capital Region
Bunyan,NSW,-36.1674,149.1415,Capital Region
Wambrook,NSW,-36.2163,148.9132,Capital Region
Polo Flat,NSW,-36.2315,149.151,Capital Region
Binjura,NSW,-36.1734,149.1083,Capital Region
Pine Valley,NSW,-36.247,149.0605,Capital Region
Rock Flat,NSW,-36.35,149.2,Capital Region
Frying Pan,NSW,-36.1444,148.8413,Capital Region
Myalla,NSW,-36.4167,149.1167,Regional NSW
