suburb,state,latitude,longitude,assigned_region,index_right,SA4_NAME21,final_region,was_different
Fernside,NSW,-28.7818,153.1679,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Lismore Heights,NSW,-28.801,153.3005,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Booerie Creek,NSW,-28.7825,153.2434,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Girards Hill,NSW,-28.8169,153.2779,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Larnook,NSW,-28.6516,153.1108,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Dungarubba,NSW,-28.9833,153.3833,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Bexhill,NSW,-28.7499,153.35,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Goonellabah,NSW,-28.8167,153.3167,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Repentance Creek,NSW,-28.6302,153.4075,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Marom Creek,NSW,-28.9015,153.3725,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Rock Valley,NSW,-28.7485,153.1679,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
East Lismore,NSW,-28.8259,153.2888,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Lindendale,NSW,-28.8282,153.3757,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Howards Grass,NSW,-28.7917,153.306,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Tuncester,NSW,-28.8,153.2167,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Woodlawn,NSW,-28.7689,153.3188,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Tuntable Creek,NSW,-28.6321,153.2602,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Koonorigan,NSW,-28.6833,153.2333,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Jiggi,NSW,-28.677,153.1843,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Lagoon Grass,NSW,-28.7944,153.3178,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Keerrong,NSW,-28.7128,153.2658,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Suffolk Park,NSW,-28.6881,153.6098,,11.0,Richmond - Tweed,Richmond - Tweed,True
Myocum,NSW,-28.596,153.5061,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Skinners Shoot,NSW,-28.6703,153.5928,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Tyagarah,NSW,-28.609,153.5557,,11.0,Richmond - Tweed,Richmond - Tweed,True
Broken Head,NSW,-28.7291,153.6087,,11.0,Richmond - Tweed,Richmond - Tweed,True
Ewingsdale,NSW,-28.6366,153.5533,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Byron Bay,NSW,-28.6499,153.6125,,11.0,Richmond - Tweed,Richmond - Tweed,True
Hayters Hill,NSW,-28.6541,153.577,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Talofa,NSW,-28.6541,153.577,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Botany,NSW,-33.946,151.1959,,16.0,Sydney - City and Inner South,Sydney - City and Inner South,True
Kogarah,NSW,-33.9681,151.1356,Sydney - Inner South West,18.0,Sydney - Inner South West,Sydney - Inner South West,False
Rosebery,NSW,-33.9167,151.2,Richmond - Tweed,16.0,Sydney - City and Inner South,Sydney - City and Inner South,True
Eastlakes,NSW,-33.932,151.2121,,16.0,Sydney - City and Inner South,Sydney - City and Inner South,True
Banksmeadow,NSW,-33.9566,151.2096,,16.0,Sydney - City and Inner South,Sydney - City and Inner South,True
Daceyville,NSW,-33.9288,151.2258,,16.0,Sydney - City and Inner South,Sydney - City and Inner South,True
Maroubra,NSW,-33.95,151.2333,,17.0,Sydney - Eastern Suburbs,Sydney - Eastern Suburbs,True
Pagewood,NSW,-33.9414,151.2109,,16.0,Sydney - City and Inner South,Sydney - City and Inner South,True
La Perouse,NSW,-33.9872,151.2317,,17.0,Sydney - Eastern Suburbs,Sydney - Eastern Suburbs,True
Matraville,NSW,-33.9634,151.2319,,17.0,Sydney - Eastern Suburbs,Sydney - Eastern Suburbs,True
Port Botany,NSW,-33.9745,151.2228,,16.0,Sydney - City and Inner South,Sydney - City and Inner South,True
Malabar,NSW,-33.9622,151.248,,17.0,Sydney - Eastern Suburbs,Sydney - Eastern Suburbs,True
Phillip Bay,NSW,-33.9816,151.234,,17.0,Sydney - Eastern Suburbs,Sydney - Eastern Suburbs,True
Little Bay,NSW,-33.979,151.243,,17.0,Sydney - Eastern Suburbs,Sydney - Eastern Suburbs,True
Hillsdale,NSW,-33.9515,151.2278,,16.0,Sydney - City and Inner South,Sydney - City and Inner South,True
Eastgardens,NSW,-33.9451,151.2258,,16.0,Sydney - City and Inner South,Sydney - City and Inner South,True
Wolli Creek,NSW,-33.9313,151.1522,,18.0,Sydney - Inner South West,Sydney - Inner South West,True
Arncliffe,NSW,-33.9363,151.1482,,18.0,Sydney - Inner South West,Sydney - Inner South West,True
Turrella,NSW,-33.9303,151.1421,Sydney - Inner South West,18.0,Sydney - Inner South West,Sydney - Inner South West,False
Bardwell Park,NSW,-33.9353,151.1257,Sydney - Inner South West,18.0,Sydney - Inner South West,Sydney - Inner South West,False
Bexley,NSW,-33.95,151.1167,Sydney - Inner South West,18.0,Sydney - Inner South West,Sydney - Inner South West,False
Bexley North,NSW,-33.9385,151.1139,Sydney - Inner South West,18.0,Sydney - Inner South West,Sydney - Inner South West,False
Bardwell Valley,NSW,-33.9334,151.1367,Sydney - Inner South West,18.0,Sydney - Inner South West,Sydney - Inner South West,False
Kingsgrove,NSW,-33.9393,151.0993,Sydney - Inner South West,18.0,Sydney - Inner South West,Sydney - Inner South West,False
Kyeemagh,NSW,-33.9513,151.162,,18.0,Sydney - Inner South West,Sydney - Inner South West,True
Banksia,NSW,-33.946,151.143,Sydney - Inner South West,18.0,Sydney - Inner South West,Sydney - Inner South West,False
