suburb,state,latitude,longitude,index_right,id,name,additional,type,major_name,major_na_1,territoria,population,name_ascii,addition_1,major_na_2,territor_1,final_region,was_different
Mahurangi East,Auckland,-36.460727047566536,174.74725417338294,5689.0,4085.0,Mahurangi East,Mahurangi,Locality,Warkworth,Town,Auckland,369.0,Mahurangi East,Mahurangi,Warkworth,Auckland,Auckland,False
Awamoko,Waitaki District,-44.93241546560348,170.89298762723027,5690.0,82.0,Awamoko,,Locality,Oamaru,Town,Waitaki District,151.0,Awamoko,,Oamaru,Waitaki District,Waitaki District,False
Ashley Downs,Clutha District,-46.15628821895236,169.46826858084577,5691.0,61.0,Ashley Downs,Taumata,Locality,Clinton,Town,Clutha District,149.0,Ashley Downs,Taumata,Clinton,Clutha District,Clutha District,False
Victoria,Rotorua District,-38.14286980586087,176.24731656036806,5692.0,2263.0,Victoria,,Suburb,Rotorua,City,Rotorua District,2635.0,Victoria,,Rotorua,Rotorua District,Rotorua District,False
Hatuma,Central Hawke's Bay District,-40.068304021508325,176.4248922302818,5693.0,507.0,Hatuma,Maharakeke,Locality,Waipukurau,Town,Central Hawke's Bay District,193.0,Hatuma,Maharakeke,Waipukurau,Central Hawke's Bay District,Central Hawke's Bay District,False
Upper Riccarton,Christchurch City,-43.53285315681057,172.57727783391425,5694.0,1754.0,Upper Riccarton,,Suburb,Christchurch,City,Christchurch City,8663.0,Upper Riccarton,,Christchurch,Christchurch City,Christchurch City,False
Cheviot,Hurunui District,-42.80346956024557,173.27908331146753,5695.0,2080.0,Cheviot,"Caverhill, Mina, Nonoti, South Cheviot, Waiau River Flats",Suburb,Cheviot,Town,Hurunui District,635.0,Cheviot,"Caverhill, Mina, Nonoti, South Cheviot, Waiau River Flats",Cheviot,Hurunui District,Hurunui District,False
Mangōnui,Far North District,-35.02113588987446,173.58683154333897,5696.0,4086.0,Mangōnui,"Akatere, Back River, Kenana, Kohumaru, Oruaiti, Paroanui",Suburb,Mangōnui,Town,Far North District,1323.0,Mangonui,"Akatere, Back River, Kenana, Kohumaru, Oruaiti, Paroanui",Mangonui,Far North District,Far North District,False
West Harbour,Auckland,-36.81576066845658,174.63200083197955,5697.0,2905.0,West Harbour,Westpark Marina,Suburb,Auckland,City,Auckland,11609.0,West Harbour,Westpark Marina,Auckland,Auckland,Auckland,False
Te Aro,Wellington City,-41.29338173869134,174.7770758929831,5698.0,1618.0,Te Aro,,Suburb,Wellington,City,Wellington City,13554.0,Te Aro,,Wellington,Wellington City,Wellington City,False
Clarks Junction,Dunedin City,-45.72260503458043,170.05042952301048,5699.0,231.0,Clarks Junction,,Locality,Outram,Town,Dunedin City,26.0,Clarks Junction,,Outram,Dunedin City,Dunedin City,False
Enner Glynn,Nelson City,-41.31359032091136,173.26590442484502,5700.0,348.0,Enner Glynn,,Suburb,Nelson,City,Nelson City,1987.0,Enner Glynn,,Nelson,Nelson City,Nelson City,False
Kaiaho Point,Marlborough District,-41.18785342185446,174.02597181046323,5701.0,622.0,Kaiaho Point,Kaiaho Pt,Locality,Marlborough Sounds,Major Locality,Marlborough District,2.0,Kaiaho Point,Kaiaho Pt,Marlborough Sounds,Marlborough District,Marlborough District,False
Waimatua,Southland District,-46.44312442006782,168.48274754139993,5702.0,1809.0,Waimatua,,Locality,Invercargill,City,Southland District,91.0,Waimatua,,Invercargill,Southland District,Southland District,False
Runciman,Auckland,-37.13186029875153,174.94210729720655,5703.0,1456.0,Runciman,,Locality,Drury,Town,Auckland,564.0,Runciman,,Drury,Auckland,Auckland,False
Tuturumuri,South Wairarapa District,-41.3651306784377,175.52525200504343,5704.0,1742.0,Tuturumuri,Temuna,Locality,Martinborough,Town,South Wairarapa District,50.0,Tuturumuri,Temuna,Martinborough,South Wairarapa District,South Wairarapa District,False
Yelverton,Marlborough District,-41.51580088211604,173.92511475308535,5705.0,1979.0,Yelverton,Omaka,Suburb,Blenheim,Town,Marlborough District,444.0,Yelverton,Omaka,Blenheim,Marlborough District,Marlborough District,False
Mangamingi,South Taranaki District,-39.41992050536295,174.4499067802037,5706.0,2203.0,Mangamingi,,Locality,Eltham,Town,South Taranaki District,18.0,Mangamingi,,Eltham,South Taranaki District,South Taranaki District,False
Kingsland,Auckland,-36.87019698274101,174.74520945676323,5707.0,694.0,Kingsland,Mt Albert,Suburb,Auckland,City,Auckland,2811.0,Kingsland,Mt Albert,Auckland,Auckland,Auckland,False
Pongaroa,Tararua District,-40.59207539024152,176.21689569370943,5708.0,2600.0,Pongaroa,"Akaroa, Kohiku, Korora, Mangatiti, Mara, Owahanga, Puketoi, Pukewhinau, Rakaunui, Waihoki, Waihoki Valley",Locality,Pongaroa,Major Locality,Tararua District,363.0,Pongaroa,"Akaroa, Kohiku, Korora, Mangatiti, Mara, Owahanga, Puketoi, Pukewhinau, Rakaunui, Waihoki, Waihoki Valley",Pongaroa,Tararua District,Tararua District,False
Rangiahua Island (Flat Island),Auckland,-36.22170874796562,175.30289774628207,5709.0,4869.0,Rangiahua Island (Flat Island),"Broken Islands (Pig Islands), Flat Island, Rangiahua Island, Hauraki Gulf",Island,,,Auckland,7.0,Rangiahua Island (Flat Island),"Broken Islands (Pig Islands), Flat Island, Rangiahua Island, Hauraki Gulf",,Auckland,Auckland,False
Wither Hills,Marlborough District,-41.55328071598223,173.96386669469103,5710.0,1957.0,Wither Hills,"Omaka, Wither Hills Park",Suburb,Blenheim,Town,Marlborough District,4.0,Wither Hills,"Omaka, Wither Hills Park",Blenheim,Marlborough District,Marlborough District,False
Ararimu,Auckland,-37.14061463563645,175.05054142175817,5711.0,41.0,Ararimu,,Locality,Drury,Town,Auckland,1075.0,Ararimu,,Drury,Auckland,Auckland,False
Mount Ajax,Grey District,-42.58305111303403,171.96740452291112,5712.0,2448.0,Mount Ajax,Mt Ajax,Locality,Moana,Major Locality,Grey District,12.0,Mount Ajax,Mt Ajax,Moana,Grey District,Grey District,False
Waiheke Island,Auckland,-36.79741214438619,175.11728726679422,5713.0,6522.0,Waiheke Island,"Cowes, Orapiu, Poukaraka Flats, Hauraki Gulf",Island,Waiheke Island,Town,Auckland,894.0,Waiheke Island,"Cowes, Orapiu, Poukaraka Flats, Hauraki Gulf",Waiheke Island,Auckland,Auckland,False
Tinopai,Kaipara District,-36.20937605259352,174.20820190227477,5714.0,2767.0,Tinopai,"Arapaoa, Hukatere",Locality,Tinopai,Major Locality,Kaipara District,476.0,Tinopai,"Arapaoa, Hukatere",Tinopai,Kaipara District,Kaipara District,False
Clarkville,Waimakariri District,-43.409868474106325,172.6093015138568,5715.0,232.0,Clarkville,Wilsons Siding,Locality,Kaiapoi,Town,Waimakariri District,884.0,Clarkville,Wilsons Siding,Kaiapoi,Waimakariri District,Waimakariri District,False
Ngatea,Hauraki District,-37.28550035350483,175.48102220911778,5716.0,1034.0,Ngatea,Horahia,Suburb,Ngatea,Town,Hauraki District,1929.0,Ngatea,Horahia,Ngatea,Hauraki District,Hauraki District,False
Helensburgh,Dunedin City,-45.84578699666604,170.48546348573166,5717.0,2165.0,Helensburgh,,Suburb,Dunedin,City,Dunedin City,1130.0,Helensburgh,,Dunedin,Dunedin City,Dunedin City,False
Wairaki,Southland District,-45.87691722881076,167.72663067594033,5718.0,1837.0,Wairaki,,Locality,Otautau,Town,Southland District,20.0,Wairaki,,Otautau,Southland District,Southland District,False
Takahiwai,Whangarei District,-35.83994826217437,174.4105135846177,5719.0,2851.0,Takahiwai,,Suburb,Whangārei,City,Whangarei District,207.0,Takahiwai,,Whangarei,Whangarei District,Whangarei District,False
Waiwera South,Clutha District,-46.250401206634535,169.48451540166243,5720.0,1866.0,Waiwera South,,Locality,Clinton,Town,Clutha District,128.0,Waiwera South,,Clinton,Clutha District,Clutha District,False
Golflands,Auckland,-36.92160677355898,174.90873687303989,5721.0,448.0,Golflands,"Cumbria Downs, Greenmount",Suburb,Auckland,City,Auckland,2900.0,Golflands,"Cumbria Downs, Greenmount",Auckland,Auckland,Auckland,False
Starvation Hill,Waimakariri District,-43.27377495484372,172.25806672229118,5722.0,1530.0,Starvation Hill,"Ashley Gorge, Bennetts, Carleton",Locality,Oxford,Town,Waimakariri District,424.0,Starvation Hill,"Ashley Gorge, Bennetts, Carleton",Oxford,Waimakariri District,Waimakariri District,False
Fuchsia Creek,Waitaki District,-45.09481538919192,170.60327987562144,5723.0,404.0,Fuchsia Creek,Fuschia Creek,Locality,Oamaru,Town,Waitaki District,56.0,Fuchsia Creek,Fuschia Creek,Oamaru,Waitaki District,Waitaki District,False
Akina,Hastings District,-39.65463011442856,176.84746253375582,5724.0,14.0,Akina,Hastings Central,Suburb,Hastings,City,Hastings District,5183.0,Akina,Hastings Central,Hastings,Hastings District,Hastings District,False
Brightlands Bay,Marlborough District,-41.062367345623976,173.86927714833908,5725.0,154.0,Brightlands Bay,,Locality,Marlborough Sounds,Major Locality,Marlborough District,1.0,Brightlands Bay,,Marlborough Sounds,Marlborough District,Marlborough District,False
Makomako,Waikato District,-37.94034838106078,174.91815001946833,5726.0,811.0,Makomako,Te Papatapu,Locality,Te Mata,Major Locality,Waikato District,67.0,Makomako,Te Papatapu,Te Mata,Waikato District,Waikato District,False
Deanwell,"Hamilton City, Waipa District",-37.82603342481798,175.276270382777,5727.0,285.0,Deanwell,,Suburb,Hamilton,City,"Hamilton City, Waipa District",1513.0,Deanwell,,Hamilton,"Hamilton City, Waipa District","Hamilton City, Waipa District",False
Te Rauamoa,Ōtorohanga District,-38.09167900338625,175.05142914263695,5728.0,1644.0,Te Rauamoa,,Locality,Ōtorohanga,Town,Ōtorohanga District,32.0,Te Rauamoa,,Otorohanga,Otorohanga District,Ōtorohanga District,False
Inland Road,Kaikoura District,-42.38376899756764,173.488561953192,5729.0,2314.0,Inland Road,,Locality,Kaikōura,Town,Kaikoura District,156.0,Inland Road,,Kaikoura,Kaikoura District,Kaikoura District,False
Waipapa Bay,Kaikoura District,-42.10367885119658,173.8155353701021,5730.0,2465.0,Waipapa Bay,,Locality,Kaikōura,Town,Kaikoura District,39.0,Waipapa Bay,,Kaikoura,Kaikoura District,Kaikoura District,False
Rototuna North,"Hamilton City, Waikato District",-37.71728667646522,175.2673916523147,5731.0,1441.0,Rototuna North,North Huntington,Suburb,Hamilton,City,"Hamilton City, Waikato District",9024.0,Rototuna North,North Huntington,Hamilton,"Hamilton City, Waikato District","Hamilton City, Waikato District",False
Ohai,Southland District,-45.918238677519646,167.9810712697505,5732.0,1076.0,Ohai,Crawfords,Suburb,Ohai,Major Locality,Southland District,343.0,Ohai,Crawfords,Ohai,Southland District,Southland District,False
Pataua South,Whangarei District,-35.736908919078665,174.51634372817165,5733.0,8912.0,Pataua South,,Locality,Parua Bay,Town,Whangarei District,422.0,Pataua South,,Parua Bay,Whangarei District,Whangarei District,False
Whareama,Masterton District,-40.9705621826182,176.07654358314304,5734.0,2595.0,Whareama,,Locality,Masterton,Town,Masterton District,58.0,Whareama,,Masterton,Masterton District,Masterton District,False
Mount Hutt,Ashburton District,-43.48323044388457,171.53235429135142,5735.0,985.0,Mount Hutt,"Coleridge, Mt Hutt",Locality,Methven,Town,Ashburton District,106.0,Mount Hutt,"Coleridge, Mt Hutt",Methven,Ashburton District,Ashburton District,False
Collingwood,Tasman District,-40.66706759456348,172.6529293749633,5736.0,2524.0,Collingwood,"Ferntown, Gibbstown, Opou, Waikato",Locality,Collingwood,Town,Tasman District,424.0,Collingwood,"Ferntown, Gibbstown, Opou, Waikato",Collingwood,Tasman District,Tasman District,False
Sunshine Bay,Queenstown-Lakes District,-45.04482643141505,168.627251546228,5737.0,2338.0,Sunshine Bay,,Suburb,Queenstown,Town,Queenstown-Lakes District,673.0,Sunshine Bay,,Queenstown,Queenstown-Lakes District,Queenstown-Lakes District,False
Tararua Forest Park,"Carterton District, Horowhenua District, Kapiti Coast District, Masterton District, South Wairarapa District, Tararua District",-40.82494812486946,175.38653195908157,5738.0,1694.0,Tararua Forest Park,,Conservation Land,Tararua Forest Park,Major Locality,"Carterton District, Horowhenua District, Kapiti Coast District, Masterton District, South Wairarapa District, Tararua District",59.0,Tararua Forest Park,,Tararua Forest Park,"Carterton District, Horowhenua District, Kapiti Coast District, Masterton District, South Wairarapa District, Tararua District","Carterton District, Horowhenua District, Kapiti Coast District, Masterton District, South Wairarapa District, Tararua District",False
Middleton,Christchurch City,-43.54294354615479,172.5831998215339,5739.0,927.0,Middleton,"Barrington, Linden Grove",Suburb,Christchurch,City,Christchurch City,83.0,Middleton,"Barrington, Linden Grove",Christchurch,Christchurch City,Christchurch City,False
Ahaura,Grey District,-42.36859226324973,171.56877823510214,5740.0,4.0,Ahaura,,Locality,Ahaura,Major Locality,Grey District,221.0,Ahaura,,Ahaura,Grey District,Grey District,False
Ashley,Waimakariri District,-43.26041008350828,172.60905745352048,5741.0,59.0,Ashley,,Locality,Rangiora,Town,Waimakariri District,970.0,Ashley,,Rangiora,Waimakariri District,Waimakariri District,False
Te Puru,Thames-Coromandel District,-37.04281845398465,175.5277323780644,5742.0,2715.0,Te Puru,,Locality,Thames,Town,Thames-Coromandel District,560.0,Te Puru,,Thames,Thames-Coromandel District,Thames-Coromandel District,False
Waitoki,Auckland,-36.63946193366811,174.5711035770456,5743.0,1859.0,Waitoki,,Locality,Waitoki,Town,Auckland,1763.0,Waitoki,,Waitoki,Auckland,Auckland,False
Ohinemutu,Rotorua District,-38.12846552968816,176.24644380788686,5744.0,8837.0,Ohinemutu,,Suburb,Rotorua,City,Rotorua District,389.0,Ohinemutu,,Rotorua,Rotorua District,Rotorua District,False
Dannemora,Auckland,-36.92980825901043,174.9238014559523,5745.0,8696.0,Dannemora,,Suburb,Auckland,City,Auckland,3856.0,Dannemora,,Auckland,Auckland,Auckland,False
Lansdowne,Masterton District,-40.93623799795084,175.68073606488525,5746.0,735.0,Lansdowne,,Suburb,Masterton,Town,Masterton District,5173.0,Lansdowne,,Masterton,Masterton District,Masterton District,False
Bulls,Rangitikei District,-40.17686709717634,175.32966116274625,5747.0,2048.0,Bulls,,Suburb,Bulls,Town,Rangitikei District,2811.0,Bulls,,Bulls,Rangitikei District,Rangitikei District,False
Redwood Pass,Marlborough District,-41.57543065245408,174.0948817945226,5748.0,1386.0,Redwood Pass,,Locality,Seddon,Town,Marlborough District,57.0,Redwood Pass,,Seddon,Marlborough District,Marlborough District,False
Whatawhata,Waikato District,-37.782781362981815,175.11994139288333,5749.0,2454.0,Whatawhata,Karakariki,Locality,Hamilton,City,Waikato District,3486.0,Whatawhata,Karakariki,Hamilton,Waikato District,Waikato District,False
Alfriston,Auckland,-37.01049337369836,174.94085160880667,5750.0,18.0,Alfriston,Wairere,Suburb,Auckland,City,Auckland,700.0,Alfriston,Wairere,Auckland,Auckland,Auckland,False
Aramoana,Central Hawke's Bay District,-40.13625443367172,176.83645364215477,5751.0,2602.0,Aramoana,,Locality,Omakere,Major Locality,Central Hawke's Bay District,61.0,Aramoana,,Omakere,Central Hawke's Bay District,Central Hawke's Bay District,False
Diamond Peak,Gore District,-46.14408256503998,168.98652019574854,5752.0,290.0,Diamond Peak,,Locality,Gore,Town,Gore District,116.0,Diamond Peak,,Gore,Gore District,Gore District,False
Hangatiki,Waitomo District,-38.269275921475526,175.1775994012717,5753.0,494.0,Hangatiki,,Locality,Te Kūiti,Town,Waitomo District,229.0,Hangatiki,,Te Kuiti,Waitomo District,Waitomo District,False
Hunterville,Rangitikei District,-39.88375447003333,175.54538747181545,5754.0,2031.0,Hunterville,"Kaikarangi, Mangaonoho, Mount Curl, Mt Curl, Otairi, Parae Karetu, Poukiore, Putorino, Rata, Rataiti, Silverhope, Vinegar Hill",Locality,Hunterville,Town,Rangitikei District,1168.0,Hunterville,"Kaikarangi, Mangaonoho, Mount Curl, Mt Curl, Otairi, Parae Karetu, Poukiore, Putorino, Rata, Rataiti, Silverhope, Vinegar Hill",Hunterville,Rangitikei District,Rangitikei District,False
Waimatā,Gisborne District,-38.51479867392952,178.09791969706257,5755.0,8904.0,Waimatā,,Locality,Waimatā,Major Locality,Gisborne District,265.0,Waimata,,Waimata,Gisborne District,Gisborne District,False
Mount Aspiring,Queenstown-Lakes District,-44.52861567099734,168.80454008660496,5039.0,2457.0,Skippers,"Bullendale (The Reefs), Charlestown, Otago Goldfields",Locality,Queenstown,Town,Queenstown-Lakes District,15.0,Skippers,"Bullendale (The Reefs), Charlestown, Otago Goldfields",Queenstown,Queenstown-Lakes District,Queenstown-Lakes District,False
Bainesse,Manawatu District,-40.4042882093628,175.38158039985464,5757.0,8979.0,Bainesse,,Locality,Palmerston North,City,Manawatu District,141.0,Bainesse,,Palmerston North,Manawatu District,Manawatu District,False
Flints Bush,Southland District,-46.27133331015551,168.14039406643116,5758.0,390.0,Flints Bush,,Locality,Otautau,Town,Southland District,31.0,Flints Bush,,Otautau,Southland District,Southland District,False
Greenstreet,Ashburton District,-43.83460066746164,171.68580256626092,5759.0,469.0,Greenstreet,,Locality,Ashburton,Town,Ashburton District,187.0,Greenstreet,,Ashburton,Ashburton District,Ashburton District,False
Richmond Heights,Taupo District,-38.7186358214184,176.09432936389703,5760.0,8865.0,Richmond Heights,,Suburb,Taupō,Town,Taupo District,2495.0,Richmond Heights,,Taupo,Taupo District,Taupo District,False
Eastern Bush,Southland District,-45.98973721174435,167.76196774714515,5761.0,327.0,Eastern Bush,,Locality,Otautau,Town,Southland District,140.0,Eastern Bush,,Otautau,Southland District,Southland District,False
Balcairn,Hurunui District,-43.16935267187017,172.65413505252877,5762.0,2134.0,Balcairn,,Locality,Amberley,Town,Hurunui District,504.0,Balcairn,,Amberley,Hurunui District,Hurunui District,False
Omanawa,Western Bay of Plenty District,-37.848540657990846,176.09025496008917,5763.0,2371.0,Omanawa,"Kaimai-mamaku Forest Park, Omanawa Falls",Locality,Omanawa,Town,Western Bay of Plenty District,2390.0,Omanawa,"Kaimai-mamaku Forest Park, Omanawa Falls",Omanawa,Western Bay of Plenty District,Western Bay of Plenty District,False
Westland National Park/Tai Poutini National Park,Westland District,-43.47722554703336,170.07116853303572,5764.0,2509.0,Westland National Park/Tai Poutini National Park,Westland National Park,Conservation Land,Westland National Park/Tai Poutini National Park,Major Locality,Westland District,27.0,Westland National Park/Tai Poutini National Park,Westland National Park,Westland National Park/Tai Poutini National Park,Westland District,Westland District,False
Lewis Pass,"Buller District, Hurunui District",-42.38433751189515,172.3440274292436,5765.0,8951.0,Lewis Pass,"Boyle Village, Maruia Springs",Locality,Reefton,Town,"Buller District, Hurunui District",20.0,Lewis Pass,"Boyle Village, Maruia Springs",Reefton,"Buller District, Hurunui District","Buller District, Hurunui District",False
Port Nelson,Nelson City,-41.26107361961783,173.2777717244518,5766.0,2545.0,Port Nelson,Nelson Central,Suburb,Nelson,City,Nelson City,40.0,Port Nelson,Nelson Central,Nelson,Nelson City,Nelson City,False
Kaniere,Westland District,-42.74480778085827,171.00353131824085,5767.0,653.0,Kaniere,,Suburb,Hokitika,Town,Westland District,519.0,Kaniere,,Hokitika,Westland District,Westland District,False
Te Anau Downs,Southland District,-45.18510956172887,167.99659675515397,5768.0,2129.0,Te Anau Downs,,Locality,Te Anau,Town,Southland District,4.0,Te Anau Downs,,Te Anau,Southland District,Southland District,False
Earthquakes,Waitaki District,-44.87934646523976,170.6113045902657,5769.0,320.0,Earthquakes,,Locality,Duntroon,Major Locality,Waitaki District,14.0,Earthquakes,,Duntroon,Waitaki District,Waitaki District,False
Tamaterau,Whangarei District,-35.76584982837633,174.4086710450667,5770.0,2835.0,Tamaterau,Waikaraka,Locality,Whangārei,City,Whangarei District,1053.0,Tamaterau,Waikaraka,Whangarei,Whangarei District,Whangarei District,False
Riwaka,Tasman District,-41.06162865369997,172.94451765641475,5771.0,2533.0,Riwaka,Umukuri,Locality,Motueka,Town,Tasman District,1362.0,Riwaka,Umukuri,Motueka,Tasman District,Tasman District,False
Riverlea,South Taranaki District,-39.41413414720252,174.08125548009298,5772.0,1409.0,Riverlea,Moeroa,Locality,Hāwera,Town,South Taranaki District,115.0,Riverlea,Moeroa,Hawera,South Taranaki District,South Taranaki District,False
Tangowahine,Kaipara District,-35.79935793232435,173.8989077822348,5773.0,1585.0,Tangowahine,Avoca,Locality,Dargaville,Town,Kaipara District,344.0,Tangowahine,Avoca,Dargaville,Kaipara District,Kaipara District,False
Otara,Southland District,-46.626431587553526,168.88866582529556,5774.0,2373.0,Otara,,Locality,Tokanui,Major Locality,Southland District,76.0,Otara,,Tokanui,Southland District,Southland District,False
Tauranga South,Tauranga City,-37.70628625523063,176.15468679769097,5775.0,2667.0,Tauranga South,Central,Suburb,Tauranga,City,Tauranga City,5622.0,Tauranga South,Central,Tauranga,Tauranga City,Tauranga City,False
Blackhead,Dunedin City,-45.91896745774678,170.442867779358,5776.0,133.0,Blackhead,,Suburb,Dunedin,City,Dunedin City,205.0,Blackhead,,Dunedin,Dunedin City,Dunedin City,False
Russley,Christchurch City,-43.517310619422815,172.53844135744953,5777.0,1457.0,Russley,Masham,Suburb,Christchurch,City,Christchurch City,2989.0,Russley,Masham,Christchurch,Christchurch City,Christchurch City,False
Shamrock Park,Auckland,-36.9233369045815,174.93007775923255,5778.0,8693.0,Shamrock Park,,Suburb,Auckland,City,Auckland,846.0,Shamrock Park,,Auckland,Auckland,Auckland,False
Whakataki,Masterton District,-40.86457859075565,176.2234615531635,5779.0,2599.0,Whakataki,,Locality,Tīnui,Major Locality,Masterton District,39.0,Whakataki,,Tinui,Masterton District,Masterton District,False
Quarry Hills,Southland District,-46.52416495970288,169.0199817708149,5780.0,1345.0,Quarry Hills,,Locality,Tokanui,Major Locality,Southland District,81.0,Quarry Hills,,Tokanui,Southland District,Southland District,False
Shelly Park,Auckland,-36.90939806516899,174.94660378791758,5781.0,1484.0,Shelly Park,,Suburb,Auckland,City,Auckland,2220.0,Shelly Park,,Auckland,Auckland,Auckland,False
Purakauiti,Clutha District,-46.54770588279182,169.52189415395716,5782.0,1335.0,Purakauiti,,Locality,Owaka,Town,Clutha District,12.0,Purakauiti,,Owaka,Clutha District,Clutha District,False
Pakatoa Island,Auckland,-36.796109771503126,175.19416577130838,5783.0,4780.0,Pakatoa Island,Hauraki Gulf,Island,Auckland,City,Auckland,1.0,Pakatoa Island,Hauraki Gulf,Auckland,Auckland,Auckland,False
Airedale,Waitaki District,-45.0037886046697,170.92547566810129,5784.0,8.0,Airedale,,Locality,Oamaru,Town,Waitaki District,45.0,Airedale,,Oamaru,Waitaki District,Waitaki District,False
Grandview Heights,Hamilton City,-37.78077219775451,175.2234605055026,5785.0,460.0,Grandview Heights,,Suburb,Hamilton,City,Hamilton City,2317.0,Grandview Heights,,Hamilton,Hamilton City,Hamilton City,False
Kinleith,South Waikato District,-38.27512214627615,175.92055505362586,5786.0,3988.0,Kinleith,"Arahiwi, North Tokoroa, Te Whetu, Upper Atiamuri, Waipapa, Wawa",Locality,Tokoroa,Town,South Waikato District,871.0,Kinleith,"Arahiwi, North Tokoroa, Te Whetu, Upper Atiamuri, Waipapa, Wawa",Tokoroa,South Waikato District,South Waikato District,False
Fletcher Bay,Thames-Coromandel District,-36.49062847107316,175.3897991074615,5787.0,2698.0,Fletcher Bay,,Locality,Coromandel,Town,Thames-Coromandel District,3.0,Fletcher Bay,,Coromandel,Thames-Coromandel District,Thames-Coromandel District,False
Waikerikeri,Central Otago District,-45.12740604162553,169.3732994285049,5788.0,2464.0,Waikerikeri,,Locality,Alexandra,Town,Central Otago District,127.0,Waikerikeri,,Alexandra,Central Otago District,Central Otago District,False
Highbury,Wellington City,-41.29579079053944,174.75382776642917,5789.0,533.0,Highbury,,Suburb,Wellington,City,Wellington City,516.0,Highbury,,Wellington,Wellington City,Wellington City,False
Oamaru,Waitaki District,-45.09397318692847,170.96600255112682,5790.0,8807.0,Oamaru,,Suburb,Oamaru,Town,Waitaki District,2880.0,Oamaru,,Oamaru,Waitaki District,Waitaki District,False
Tāneatua,Whakatane District,-38.07314060646942,176.96437570370296,5791.0,1582.0,Tāneatua,Waiou,Suburb,Tāneatua,Town,Whakatane District,1469.0,Taneatua,Waiou,Taneatua,Whakatane District,Whakatane District,False
Kumutoto Bay,Marlborough District,-41.21193174427948,174.07012124257378,2946.0,7035.0,Kumutoto Bay,Queen Charlotte Sound (Totaranui),Coastal Bay,,,Marlborough District,,Kumutoto Bay,Queen Charlotte Sound (Totaranui),,Marlborough District,Marlborough District,False
Clifton,Tasman District,-40.8571296697711,172.88285174522005,5793.0,2530.0,Clifton,,Locality,Tākaka,Town,Tasman District,246.0,Clifton,,Takaka,Tasman District,Tasman District,False
Waikouaiti,Dunedin City,-45.586588900799256,170.67855011846513,5794.0,1796.0,Waikouaiti,"Hawksbury Bush, Tumai",Suburb,Waikouaiti,Town,Dunedin City,1418.0,Waikouaiti,"Hawksbury Bush, Tumai",Waikouaiti,Dunedin City,Dunedin City,False
Upper Moutere,Tasman District,-41.26188503314374,172.9934898241144,5795.0,1752.0,Upper Moutere,"Harakeke, Prices Corner",Locality,Upper Moutere,Town,Tasman District,2283.0,Upper Moutere,"Harakeke, Prices Corner",Upper Moutere,Tasman District,Tasman District,False
Hikumutu,Ruapehu District,-38.952244462734654,175.28817891721195,5796.0,8684.0,Hikumutu,Tunakotekote,Suburb,Taumarunui,Town,Ruapehu District,111.0,Hikumutu,Tunakotekote,Taumarunui,Ruapehu District,Ruapehu District,False
Pareora,Timaru District,-44.47114144947332,171.1974972415576,5797.0,8686.0,Pareora,Kingsdown,Suburb,Pareora,Major Locality,Timaru District,614.0,Pareora,Kingsdown,Pareora,Timaru District,Timaru District,False
Urenui,New Plymouth District,-39.01329333315673,174.41913006750832,5798.0,1757.0,Urenui,Kaipikari,Locality,Urenui,Town,New Plymouth District,705.0,Urenui,Kaipikari,Urenui,New Plymouth District,New Plymouth District,False
Woodend Beach,Waimakariri District,-43.33753278821852,172.69766230776705,5799.0,1964.0,Woodend Beach,Camside,Suburb,Woodend,Town,Waimakariri District,317.0,Woodend Beach,Camside,Woodend,Waimakariri District,Waimakariri District,False
Napier South,Napier City,-39.49811307766993,176.91293552546318,5800.0,2619.0,Napier South,,Suburb,Napier,City,Napier City,5270.0,Napier South,,Napier,Napier City,Napier City,False
Enderley,Hamilton City,-37.76819335068427,175.29682201830292,5801.0,346.0,Enderley,,Suburb,Hamilton,City,Hamilton City,4796.0,Enderley,,Hamilton,Hamilton City,Hamilton City,False
Waikato Hospital,Hamilton City,-37.80429498090714,175.28428251729804,5802.0,1788.0,Waikato Hospital,,Suburb,Hamilton,City,Hamilton City,4.0,Waikato Hospital,,Hamilton,Hamilton City,Hamilton City,False
Prices Valley,Christchurch City,-43.77100076273716,172.71854073118922,5803.0,2450.0,Prices Valley,,Locality,Little River,Major Locality,Christchurch City,32.0,Prices Valley,,Little River,Christchurch City,Christchurch City,False
Rosewill,Timaru District,-44.34369957864994,171.15722230871867,5804.0,1433.0,Rosewill,Rosewill Valley,Locality,Timaru,Town,Timaru District,204.0,Rosewill,Rosewill Valley,Timaru,Timaru District,Timaru District,False
Motukawaiti Island / Step Island,Far North District,-35.03247542331478,173.9574016418728,5805.0,4561.0,Motukawaiti Island / Step Island,"Cavalli Islands, Motukawaiti Island, Step Island",Island,,,Far North District,2.0,Motukawaiti Island / Step Island,"Cavalli Islands, Motukawaiti Island, Step Island",,Far North District,Far North District,False
Punakitere Valley,Far North District,-35.50591208730173,173.90290410870358,5806.0,2414.0,Punakitere Valley,,Locality,Kaikohe,Town,Far North District,65.0,Punakitere Valley,,Kaikohe,Far North District,Far North District,False
Westgate,Auckland,-36.81750129113852,174.60191464415811,5807.0,8961.0,Westgate,Massey North,Suburb,Auckland,City,Auckland,2640.0,Westgate,Massey North,Auckland,Auckland,Auckland,False
