suburb,state,latitude,longitude,assigned_region
Brolgan,NSW,-33.1333,148.0667,
Mugincoble,NSW,-33.1833,148.2333,
Leppington,NSW,-33.9698,150.7967,
Bradfield,NSW,-33.9333,150.7333,
St Andrews,NSW,-34.0224,150.8296,
Minto Dc,NSW,-34.0214,150.8372,
Varroville,NSW,-34.0032,150.8111,
Minto Heights,NSW,-34.0345,150.8744,
Glenfield,NSW,-33.9667,150.9,
Darkes Forest,NSW,-34.2377,150.9195,
Otford,NSW,-34.2129,150.9982,
Woronora Dam,NSW,-34.1452,150.985,
Coalcliff,NSW,-34.2457,150.9682,
Stanwell Tops,NSW,-34.2193,150.9764,
Lilyvale,NSW,-34.1861,151.0165,
Stanwell Park,NSW,-34.2261,150.9858,
Helensburgh,NSW,-34.1784,150.9952,
Kearns,NSW,-34.0219,150.8008,
Eschol Park,NSW,-34.0298,150.8096,
Glenquarie,NSW,-34.0044,150.8965,
Macquarie Fields,NSW,-33.9921,150.8931,
Long Point,NSW,-34.0167,150.9,
Currans Hill,NSW,-34.0431,150.773,
Narellan Dc,NSW,-34.0417,150.7503,
Harrington Park,NSW,-34.024,150.735,
Haberfield,NSW,-33.883,151.1439,
Five Dock,NSW,-33.8674,151.1291,
Rodd Point,NSW,-33.8666,151.1399,
Chiswick,NSW,-33.85,151.1385,
Canada Bay,NSW,-33.8648,151.1142,
Abbotsford,NSW,-33.8489,151.128,
Russell Lea,NSW,-33.8589,151.1411,
Drummoyne,NSW,-33.8524,151.1549,
Newington,NSW,-33.8349,151.057,
Wentworth Point,NSW,-33.8308,151.0744,
Homebush Bay,NSW,-33.8627,151.067,
Sydney Olympic Park,NSW,-33.8498,151.0683,
Strathfield,NSW,-33.881,151.0799,
Mortlake,NSW,-33.8422,151.1072,
Concord,NSW,-33.8472,151.1038,
Cabarita,NSW,-33.8472,151.1164,
Breakfast Point,NSW,-33.8429,151.1107,
Concord West,NSW,-33.8481,151.0861,
Rhodes,NSW,-33.8266,151.0881,
Liberty Grove,NSW,-33.8409,151.084,
Concord West Dc,NSW,-33.8386,151.0861,
Concord Repatriation Hospital,NSW,-33.8658,151.1016,
Homebush West,NSW,-33.8627,151.067,
Homebush,NSW,-33.8667,151.0833,
Homebush South,NSW,-33.8647,151.0751,
Waterloo,NSW,-33.8994,151.2053,
Auburn,NSW,-33.85,151.0333,
Milperra,NSW,-33.9393,150.9815,
Lansdowne,NSW,-33.896,150.9756,
Carramar,NSW,-33.8838,150.9615,
Villawood,NSW,-33.8843,150.9803,
Campsie,NSW,-33.9125,151.1028,
Lakemba Dc,NSW,-33.922,151.0716,
Punchbowl,NSW,-33.9289,151.0511,
Bass Hill,NSW,-33.8986,150.9954,
Georges Hall,NSW,-33.9088,150.9885,
Yagoona West,NSW,-33.9049,151.02,
Yagoona,NSW,-33.9049,151.02,
Bankstown Square,NSW,-33.9196,151.0308,
Bankstown Airport,NSW,-33.9196,151.0308,
Bankstown Aerodrome,NSW,-33.9196,151.0308,
Bankstown North,NSW,-33.9196,151.0308,
Manahan,NSW,-33.9196,151.0308,
Marrickville,NSW,-33.9074,151.1555,
Marrickville Metro,NSW,-33.9074,151.1555,
Marrickville South,NSW,-33.9074,151.1555,
Earlwood,NSW,-33.9209,151.1251,
Lugarno,NSW,-33.9827,151.0418,
Peakhurst Heights,NSW,-33.9774,151.0556,
Peakhurst,NSW,-33.9629,151.0516,
Peakhurst Dc,NSW,-33.9675,151.0497,
Riverwood,NSW,-33.9473,151.0497,
Padstow,NSW,-33.9569,151.0319,
Padstow Heights,NSW,-33.9674,151.0399,
Revesby Heights,NSW,-33.9671,151.0184,
Revesby North,NSW,-33.9586,151.0175,
East Hills,NSW,-33.961,150.9882,
Picnic Point,NSW,-33.9806,150.9966,
Panania,NSW,-33.9537,150.9973,
Ariah Park,NSW,-34.3493,147.2218,
Beckom,NSW,-34.3152,146.9679,
Tara,NSW,-34.5,147.1667,
Binya,NSW,-34.2391,146.3376,
Kamarah,NSW,-34.3255,146.7831,
Ardlethan,NSW,-34.3569,146.9018,
Mirrool,NSW,-34.2378,147.0645,
Mount Crystal,NSW,-34.3569,146.9391,
Moombooldool,NSW,-34.3016,146.6541,
Barellan,NSW,-34.2849,146.5722,
Rankins Springs,NSW,-33.8407,146.2634,
Erigolia,NSW,-33.8605,146.3552,
Gubbata,NSW,-33.6654,146.6463,
Naradhan,NSW,-33.6132,146.3268,
Yaddra,NSW,-33.1667,146.65,
Weethalle,NSW,-33.8764,146.622,
Weja,NSW,-33.5332,146.8219,
Bygalorie,NSW,-33.4667,146.8,
Wallanthery,NSW,-33.3487,145.8342,
Hillston,NSW,-33.4827,145.5353,
