suburb,state,latitude,longitude
Gonda,Uttar Pradesh,27.084388434890176,82.02553410343072
Gondiya,Maharashtra,21.14961360249085,80.20535569167437
Gopalganj,Bihar,26.442866055026936,84.377193646571
Gorakhpur,Uttar Pradesh,26.65834356548141,83.3613742508205
Gulbarga,Karnataka,17.260627459885935,76.869523046487
Gumla,Jharkhand,23.102690323497466,84.53454019272388
Guna,Madhya Pradesh,24.555672875481758,77.20081515293091
Guntur,Andhra Pradesh,16.299165499115485,80.0913534862821
Gurdaspur,Punjab,32.02493718927355,75.38675526417795
Gurgaon,Haryana,28.368144564918847,76.9407656315644
Gwalior,Madhya Pradesh,26.011724243247645,78.21950254565837
Hailakandi,Assam,24.49448880597316,92.58881099605132
Hamirpur,Himachal Pradesh,31.668222076078695,76.5257551537997
Hamirpur,Uttar Pradesh,25.73186817420498,79.87898954757091
Hanumangarh,Rajasthan,29.272567385254995,74.5485408370137
Haora,West Bengal,22.526187960997625,88.06754195700587
Harda,Madhya Pradesh,22.234444219612307,77.12106281223443
Hardoi,Uttar Pradesh,27.329297308569263,80.16230913659167
Hardwar,Uttarakhand,29.872115790518894,78.00116173333038
Hassan,Karnataka,12.99564358370708,76.10910504376825
Mahamaya Nagar,Uttar Pradesh,27.577788878653053,78.16168192744408
Haveri,Karnataka,14.738353141746503,75.41764844693677
Hazaribagh,Jharkhand,23.99029718634408,85.41327929500903
Hingoli,Maharashtra,19.61557692456841,77.11883948772433
Hisar,Haryana,29.2153861102673,75.81562230936903
Hoshangabad,Madhya Pradesh,22.588559468992294,77.98914606992176
Hoshiarpur,Punjab,31.626890054840597,75.85842016082704
Hugli,West Bengal,22.884891512806988,88.0799001370785
Hyderabad,Andhra Pradesh,17.389847568937473,78.46994133754635
Idukki,Kerala,9.882501926026976,77.02741767278914
Imphal East,Manipur,24.816685476904112,93.9421363342384
Imphal West,Manipur,24.681674186135552,93.15440232773364
Indore,Madhya Pradesh,22.713417592069053,75.782124162149
Jabalpur,Madhya Pradesh,23.23286846696339,79.97659170234706
Jagatsinghapur,Odisha,20.22190480410213,86.34364880675533
Jaintia Hills,Meghalaya,25.3687011991604,92.38105086651875
Jaipur,Rajasthan,26.98180747949866,75.7247382152575
Jaisalmer,Rajasthan,27.08016941049488,70.90366983199807
Jajapur,Odisha,20.856130466824652,86.15208576513442
Jalandhar,Punjab,31.213041964069113,75.56662676045428
Jalaun,Uttar Pradesh,26.09150292994366,79.3873866010215
Jalgaon,Maharashtra,20.936211635826382,75.49014783667577
Jalna,Maharashtra,19.819116642724982,75.9817862087279
Jalor,Rajasthan,25.098734565229396,72.21260209462868
Jalpaiguri,West Bengal,26.66074988460327,89.08434148060309
Jammu,Jammu & Kashmir,32.76280060708844,74.78832563907386
Jamnagar,Gujarat,22.25288754946767,69.91391984832588
Jamtara,Jharkhand,23.976982127013365,86.91718181512412
Jamui,Bihar,24.784142510061955,86.29511893560704
Janjgir-champa,Chhattisgarh,21.926413194145546,82.73785975222533
Jashpur,Chhattisgarh,22.800991683649567,83.8663955163114
Jaunpur,Uttar Pradesh,25.746367997509626,82.57588745024584
Jhabua,Madhya Pradesh,22.890892012428637,74.67186087884949
Jhajjar,Haryana,28.60492195078375,76.6494858374474
Jhalawar,Rajasthan,24.329505737606368,76.19705750000965
Jhansi,Uttar Pradesh,25.50591996885148,78.95406946266006
Jharsuguda,Odisha,21.80610113133833,83.95484066384587
Jhunjhunun,Rajasthan,28.092435700457425,75.55243921083792
Jodhpur,Rajasthan,26.753220823121854,72.7872069237349
Jorhat,Assam,26.79433263369654,94.25658520536736
Junagadh,Gujarat,21.222057628653236,70.5537657584558
Jyotiba Phule Nagar,Uttar Pradesh,28.81391703570316,78.32936313430292
Kachchh,Gujarat,23.63026199869576,69.96032527592872
Kaimur (bhabua),Bihar,24.991684811852146,83.60669563113457
Kaithal,Haryana,29.81436374967141,76.41819377484244
Kalahandi,Odisha,19.868374919731988,83.10953909250507
Kamrup,Assam,26.11846887845927,91.40640312796889
Kamrup Metropolitan,Assam,26.09009592193892,91.82166473390552
Kancheepuram,Tamil Nadu,12.695441577469316,79.94788810187835
Kandhamal,Odisha,20.12954552174811,84.0473657396127
Kangra,Himachal Pradesh,32.10914743823388,76.31779017391075
Uttar Bastar Kanker,Chhattisgarh,20.148114494012717,81.12942201635627
Kannauj,Uttar Pradesh,27.012110978247307,79.68790750038552
Kanniyakumari,Tamil Nadu,8.306991858415305,77.36141951913035
Kannur,Kerala,12.0007365536255,75.52619692815145
Kanpur Dehat,Uttar Pradesh,26.4451621493664,79.8571452722694
Kanpur Nagar,Uttar Pradesh,26.38131685347301,80.21566753411236
Kansiram Nagar,Uttar Pradesh,27.777366371476027,78.84527719588819
Kapurthala,Punjab,31.35431514292984,75.40311257127601
Karbi Anglong,Assam,26.06635570750082,93.14917624324308
Kargil,Jammu & Kashmir,33.970558333413194,76.48230172437019
Karimganj,Assam,24.58169429551487,92.37747600551423
Karimnagar,Andhra Pradesh,18.55014361887958,79.24084326413325
Karnal,Haryana,29.68777123352163,76.88484282450474
Karur,Tamil Nadu,10.843045649079375,78.13307075759155
Kasaragod,Kerala,12.46294534274635,75.15363942458535
Kathua,Jammu & Kashmir,32.566533987212054,75.59394776179933
Katihar,Bihar,25.54564966119044,87.64504076660505
Katni,Madhya Pradesh,23.754520816995246,80.40154173596
Kaushambi,Uttar Pradesh,25.488920223410712,81.45353508090317
Kendrapara,Odisha,20.553274164267645,86.60976504989374
Kendujhar,Odisha,21.537873578073587,85.70480854955886
Khagaria,Bihar,25.51231270210454,86.60307882435517
Khammam,Andhra Pradesh,17.598035711027418,80.68744205434682
Kheda,Gujarat,22.87658977899373,73.01695060659075
Kheri,Uttar Pradesh,28.123297766024205,80.6670420227486
Khordha,Odisha,20.090257201604498,85.51163263484555
Khunti,Jharkhand,22.997904278781263,85.27458684808457
Kinnaur,Himachal Pradesh,31.597567999405893,78.41250812599498
Kiphire,Nagaland,25.844971282316376,94.82509964793957
Kishanganj,Bihar,26.295759728044782,87.93533192091031
Kishtwar,Jammu & Kashmir,33.53085592613648,76.014172087542
Koch Bihar,West Bengal,26.291276564100077,89.34352130235655
Kodagu,Karnataka,12.324602664221597,75.80323052497775
Kodarma,Jharkhand,24.43730294876381,85.59564206328578
Kohima,Nagaland,25.78124287624292,94.1291253839838
Kokrajhar,Assam,26.514932517738774,90.13073376182352
Kolar,Karnataka,13.13955019351845,78.21773403691395
Kolasib,Mizoram,24.198140820971414,92.72695819369957
Kolhapur,Maharashtra,16.470608900934657,74.15966934197594
Kolkata,West Bengal,22.555268633706365,88.35584319659445
Kollam,Kerala,8.961025821462396,76.87485887622405
Koppal,Karnataka,15.562025852267421,76.22186628256844
Koraput,Odisha,18.816969397781,82.72124930369907
Korba,Chhattisgarh,22.532781088623008,82.61176755530155
Koriya,Chhattisgarh,23.468794234946934,82.23693604420993
Kota,Rajasthan,25.125400796888133,76.12963444858991
Kottayam,Kerala,9.637118909983851,76.6509053401052
Kozhikode,Kerala,11.484918039192344,75.83432695770139
Krishna,Andhra Pradesh,16.563444432316395,80.80036010594357
Krishnagiri,Tamil Nadu,12.489215716142077,78.03266405878573
Kulgam,Jammu & Kashmir,33.58828851442323,74.86060413806504
Kullu,Himachal Pradesh,31.905447131066225,77.39997899800112
Kupwara,Jammu & Kashmir,34.53223123331655,74.26623385899973
Kurnool,Andhra Pradesh,15.534153404595811,78.00614686117109
Kurukshetra,Haryana,30.045160137477147,76.78623059536285
Kurung Kumey,Arunanchal Pradesh,28.000241187653597,93.39228286128035
Kushinagar,Uttar Pradesh,26.86205702283202,83.93475876377373
Lahul & Spiti,Himachal Pradesh,32.48197497728735,77.61497148830743
Lakhimpur,Assam,27.16923282613617,94.12595015927764
Lakhisarai,Bihar,25.15556021091655,86.13117139923087
Lalitpur,Uttar Pradesh,24.654013391177497,78.56173928776681
Latehar,Jharkhand,23.718064722164726,84.44337918150194
Latur,Maharashtra,18.36091442819737,76.77517499050012
Lawangtlai,Mizoram,22.383917056701794,92.71318521468076
Leh (ladakh),Jammu & Kashmir,34.35287511206887,78.43784013603417
Lohardaga,Jharkhand,23.475777850486462,84.66999310844318
Lohit,Arunanchal Pradesh,27.84054106767147,96.19523260920175
Longleng,Nagaland,26.555536939133443,94.80029005595881
Lower Dibang Valley,Arunanchal Pradesh,28.3731653015519,95.88056465501512
Lower Subansiri,Arunanchal Pradesh,27.625795211559932,93.9392155042499
Lucknow,Uttar Pradesh,26.84188578242896,80.90664223673434
Ludhiana,Punjab,30.808931206697615,75.83817733310477
Lunglei,Mizoram,22.97233277137314,92.72249216825008
Madhepura,Bihar,25.826340977714743,86.8962219427907
Madhubani,Bihar,26.40587155026835,86.21786568796887
Madurai,Tamil Nadu,9.921064690611724,78.0063573729763
Maharajganj,Uttar Pradesh,27.20277624011486,83.53327931384676
Mahasamund,Chhattisgarh,21.207310804082198,82.61298656959127
Mahbubnagar,Andhra Pradesh,16.499344895274838,78.14607231784572
Mahe,Puducherry,11.726678986786482,75.54153841460999
Mahendragarh,Haryana,28.173295731001243,76.14319070915865
Mahesana,Gujarat,23.609582568666855,72.46213356264677
Mahoba,Uttar Pradesh,25.344451011516462,79.69670212227508
Mainpuri,Uttar Pradesh,27.18077830430892,79.05903298633564
Malappuram,Kerala,11.132240220709004,76.15583838075975
Maldah,West Bengal,25.13709718768365,88.09227575922397
Malkangiri,Odisha,18.258457131832834,81.95650595511312
Mamit,Mizoram,23.75464203498639,92.46715648164472
Mandi,Himachal Pradesh,31.638973135342585,76.99271840444202
Mandla,Madhya Pradesh,22.640993062598973,80.51324646836488
Mandsaur,Madhya Pradesh,24.21192462293172,75.40582884544511
Mandya,Karnataka,12.610552209884846,76.79788547811282
Mansa,Punjab,29.908672661890286,75.43899595481027
Marigaon,Assam,26.284901076631098,92.28199451282227
Mathura,Uttar Pradesh,27.597253695804937,77.62755348211445
Mau,Uttar Pradesh,26.043233887671143,83.56291446737659
Mayurbhanj,Odisha,21.895930049750294,86.41109224981058
Medak,Andhra Pradesh,17.888322224706823,78.21581522545652
Meerut,Uttar Pradesh,29.035925329119834,77.7939354254437
Mewat,Haryana,27.982070539285164,77.0465286653312
Mirzapur,Uttar Pradesh,24.985696306984366,82.61930251358197
Moga,Punjab,30.77036083964073,75.16805427570593
Mokokchung,Nagaland,26.472193406710574,94.5318098040121
Mon,Nagaland,26.731406855185682,95.02168043883184
Moradabad,Uttar Pradesh,28.776082353189626,78.70864419927035
Morena,Madhya Pradesh,26.41435610917755,77.86929873448419
Muktsar,Punjab,30.295165937457515,74.54101772545118
Mumbai,Maharashtra,18.959646528545917,72.8496237050775
Mumbai Suburban,Maharashtra,19.129627496175978,72.88506011300234
Munger,Bihar,25.210166609612163,86.5273371136645
Murshidabad,West Bengal,24.16176351923969,88.23100412667857
Muzaffarnagar,Uttar Pradesh,29.43924276502965,77.59225817154332
Muzaffarpur,Bihar,26.151298728271374,85.33073957762477
Mysore,Karnataka,12.20902171431795,76.44208522356945
Nabarangapur,Odisha,19.588603691766636,82.33745497709708
Nadia,West Bengal,23.483684499669078,88.52140838266848
Nagaon,Assam,26.22367486145208,92.84243198277967
Nagaur,Rajasthan,27.065143551318336,74.18806175870432
Nagpur,Maharashtra,21.17695626673437,79.08746534037844
Nainital,Uttarakhand,29.313009001907563,79.45453483876669
Nalanda,Bihar,25.220977931071484,85.4558733843292
Nalbari,Assam,26.36807663232914,91.38770460130266
Nalgonda,Andhra Pradesh,17.068592804054425,79.28859014777487
Namakkal,Tamil Nadu,11.316344153765447,78.13614739214886
Nanded,Maharashtra,19.11731932406889,77.62450537303735
Nandurbar,Maharashtra,21.550227683689247,74.21880402155203
Narayanpur,Chhattisgarh,19.604595516867786,81.08112912525077
Narmada,Gujarat,21.735660277944703,73.64748729257992
Narsimhapur,Madhya Pradesh,22.934790821154998,79.08730519866404
Nashik,Maharashtra,20.260093811364026,74.07164291828809
Navsari,Gujarat,20.815313985741195,73.08963082303548
Nawada,Bihar,24.811247667550692,85.59419998575333
Nayagarh,Odisha,20.213311726135863,84.99932117521844
Neemuch,Madhya Pradesh,24.606030268835536,75.14464675117601
Sri Potti Sriramulu Nellore,Andhra Pradesh,14.427874983732284,79.73413283137594
New Delhi,NCT of Delhi,28.610886398197064,77.21397139862047
Nizamabad,Andhra Pradesh,18.526534476729854,78.14401402105177
North,NCT of Delhi,28.71058294081715,77.21153514731198
North,Sikkim,27.74381446838575,88.53246063099624
North 24 Parganas,West Bengal,22.467109755355647,88.78009571359752
Dima Hasao,Assam,25.377516898237683,93.03411535949785
North East,NCT of Delhi,28.70770331201297,77.27397176304436
North Goa,Goa,15.552609128073884,73.9806323245723
North Tripura,Tripura,24.130905974771206,92.15547190048403
North West,NCT of Delhi,28.76881498291095,77.0868702405544
Nuapada,Odisha,20.46639587080677,82.5782722882856
Osmanabad,Maharashtra,18.18976785393147,76.03839132550843
Pakur,Jharkhand,24.563487614654605,87.66411790938703
Palakkad,Kerala,10.794863908842858,76.5585480359929
Palamu,Jharkhand,24.202836507046648,84.16737327385135
Pali,Rajasthan,25.709708783140616,73.52137856554907
Palwal,Haryana,28.047629026933727,77.31833410150789
Panch Mahals,Gujarat,22.904913415438617,73.66426956585457
Panchkula,Haryana,30.686134464155703,76.97757930121881
Panipat,Haryana,29.332667215418848,76.92632056674758
Panna,Madhya Pradesh,24.421550579407935,80.19187820843598
Papum Pare,Arunanchal Pradesh,27.2892269102111,93.59696599658852
Parbhani,Maharashtra,19.286343743944663,76.68269049879575
Pashchim Champaran,Bihar,27.079857770643883,84.34102084748974
Pashchim Medinipur,West Bengal,22.41506155153963,87.2670489230805
Pashchimi Singhbhum,Jharkhand,22.42020422898322,85.5195179538001
Patan,Gujarat,23.769584420554818,71.75250932557587
Pathanamthitta,Kerala,9.284104645119,76.92895793922483
Patiala,Punjab,30.282003763804635,76.35416898357691
Patna,Bihar,25.456584281498905,85.22209444964851
Perambalur,Tamil Nadu,11.273398882941931,78.89301341056515
Peren,Nagaland,25.499741458511327,93.62355736897801
Phek,Nagaland,25.66096067247234,94.52548687907597
Pilibhit,Uttar Pradesh,28.542218916659476,79.96171276576548
Pithoragarh,Uttarakhand,30.113424583659825,80.34780936447983
Porbandar,Gujarat,21.653711751507593,69.77794361206826
Prakasam,Andhra Pradesh,15.622056333535175,79.51578909913897
Pratapgarh,Rajasthan,24.030045380028078,74.68090860044562
Pratapgarh,Uttar Pradesh,25.872738729695072,81.83151519935839
Pudukkottai,Tamil Nadu,10.358820951774506,78.88118923712902
Pulwama,Jammu & Kashmir,33.933045575646574,75.03732256002563
Punch,Jammu & Kashmir,33.70208430921119,74.19915286783967
Pune,Maharashtra,18.571958559002308,74.06868605826122
Purba Champaran,Bihar,26.618846549684307,84.92465322101609
Purba Medinipur,West Bengal,22.021263045343677,87.77449010301791
Purbi Singhbhum,Jharkhand,22.582972711538424,86.45251023911969
Puri,Odisha,19.876765938021297,85.72110283794973
Purnia,Bihar,25.816387582463122,87.40722903568826
Puruliya,West Bengal,23.277882396949973,86.41835252514461
Rae Bareli,Uttar Pradesh,26.229197747346788,81.23137819999486
Raichur,Karnataka,16.089794506892076,76.8932515792639
Raigarh,Chhattisgarh,22.087208578105642,83.30613244880563
Raigarh,Maharashtra,18.518230569513143,73.21473750607714
Raipur,Chhattisgarh,21.074473062281164,82.17380954907124
Raisen,Madhya Pradesh,23.217501217870307,78.11851201397484
Rajouri,Jammu & Kashmir,33.310431387162176,74.39874734731548
Rajgarh,Madhya Pradesh,23.86161501130195,76.73452167810404
Rajkot,Gujarat,22.26458876811077,70.77527578106357
Rajnandgaon,Chhattisgarh,21.04123256711383,80.81954204195648
